name,terminal,airside,categories,lat,lon,phone,website,opening_hours,floor_level,wheelchair,takeaway,description,verified_status,osm_id,cuisine,logo_url
Arzábal,T1,Airside,"Bar, Tapas, Spanish",,,,,,,,,"A modern Madrid tapas restaurant serving traditional Spanish pintxos, cañas, and creative Spanish small plates.", craft beers and Spanish wines.,OPEN — on official MAD website,"Spanish, European",https://img.logo.dev/arzabal.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Bareto,"T1, T2",Airside,"Bar, Tapas",,,,,,,,,"A Spanish bar serving classic tapas, bocadillos, and wines in a traditional Spanish bar-café setting.", beer and wine.,OPEN — on official MAD website,"Bar, Spanish, European",
Beher,"T1, T2",Airside,"Bar, Spanish",,,,,,,,,A premium Iberian ham specialty shop and restaurant serving sliced jamón ibérico de bellota and Spanish charcuterie.,OPEN — on official MAD website,,"Spanish, European",
Bottega Prosecco Bar & Caffè,T1,Airside,"Bar, Italian",,,,,,,,,"An Italian prosecco bar serving Bottega Prosecco, spritzes, and Italian aperitivo snacks.", aperitivo snacks and espresso.,OPEN — on official MAD website,"Bar, Italian",
Cañas y Tapas - Café Pans,T1,Airside,"Bar, Tapas",,,,,,,,,"A combined Spanish tapas bar and Café Pans sandwich concept, serving cañas (draft beer), tapas, and bocadillos.",OPEN — on official MAD website,,"Spanish, European",
Corner by Real Madrid,"T1, T2",Airside,"Bar, Restaurant",,,,,,,,,An officially branded Real Madrid football club bar and restaurant serving Spanish food and drinks in a football-themed setting.,OPEN — on official MAD website,,"Bar, Spanish, European",
Dehesa Santa María,T1,Airside,"Bar, Spanish",,,,,,,,,"A Spanish dehesa (pastureland) restaurant and store showcasing Iberian products including jamón, cheeses, and chorizos.", jamón and regional wines.,OPEN — on official MAD website,"Spanish, European",
Enrique Tomás experience,"T1, T2",Airside,"Bar, Spanish",,,,,,,,,"A premium jamón ibérico experience bar from renowned ham purveyor Enrique Tomás, offering sliced Iberian ham and Spanish wines.",OPEN — on official MAD website,,"Spanish, European",
La Barra de la Bientirada,"T1, T2",Airside,"Bar, Restaurant",,,,,,,,,"A Spanish bar and tapas concept serving cold beers, wines, pintxos, and Spanish bar snacks.", snacks and drinks.,OPEN — on official MAD website,"Spanish, European",
La Bientirada,T1,Airside,"Restaurant, Bar",,,,,,,,,"A casual Spanish bistro serving Spanish comfort food including croquetas, jamón, and regional dishes.",OPEN — on official MAD website,,"Spanish, European",https://img.logo.dev/labientirada.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
