"name","terminal","airside","address","phone","website","cuisine","categories","description","opening_hours","wheelchair","takeaway","halal","vegetarian_options","vegan_options","verified_status","osm_id"
"Alta Strada","Terminal A","Airside","Terminal A","","","","Post-Security; Local; Lunch; Dinner; Waiter Service; Alcohol","","5a – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"B.GOOD","Terminal A","Airside","Terminal A","","","","Post-Security; Local; Breakfast; Lunch; Dinner; Quick Serve","","60 mins prior to first departure – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"B.GOOD","Terminal B","Airside","Terminal B","","","","Post-Security; Local; Lunch; Dinner; Quick Serve","","4:30a – 30 min prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"Berkshire Farms Market","Terminal A","Airside","Terminal A","","","","Post-Security; Local; Breakfast; Lunch; Quick Serve; Grab and Go","","60 mins prior to first departure – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"Boston Bruins Bar","Terminal A","Airside","Terminal A","","","","Post-Security; Breakfast; Dinner; Waiter Service; Alcohol","","5a – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"Boston Harbor Distillery","Terminal E","Airside","Terminal E","","","","Post-Security; Local; Lunch; Dinner; Waiter Service; Alcohol","","1p – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"Boston Public Market","Terminal C","Airside","Terminal C","","","","Post-Security; Local; Breakfast; Lunch; Quick Serve; Vegan; Vegetarian","","4a – 30 mins prior (varies by vendor)","","","","yes","yes","OPEN — on official Boston Logan website",""
"Buffalo Wild Wings GO","Terminal A","Airside","Terminal A","","","","Post-Security; American; Lunch; Dinner; Quick Serve; Alcohol","","5a – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"Camden Food Co.","Terminal C","Airside","Terminal C","","","","Post-Security; Breakfast; Lunch; Quick Serve; Grab and Go","","60 mins prior to first departure – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"Cheers","Terminal B","Airside","Terminal B","","","","Post-Security; American; Breakfast; Lunch; Dinner; Waiter Service; Alcohol","","5a – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"Cheers","Terminal C","Airside","Terminal C","","","","Post-Security; American; Breakfast; Lunch; Dinner; Waiter Service; Alcohol","","5a – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"Chipotle","Terminal B","Airside","Terminal B","","","","Post-Security; Mexican; Lunch; Dinner; Quick Serve; Vegan; Vegetarian","","60 mins prior to first departure – 30 mins prior to last departure","","","","yes","yes","OPEN — on official Boston Logan website",""
