name,terminal,airside,floor_level,lat,lon,address,phone,website,cuisine,categories,description,opening_hours,wheelchair,takeaway,halal,vegetarian_options,vegan_options,verified_status,osm_id,logo_url
Airport Juice Bar,Concourse C,Airside,,,,,,,Healthy,"Juices, Smoothies, Healthy",A juice bar serving fresh-squeezed and blended fruit and vegetable juices alongside smoothies.,24 hours,,,yes,yes,yes,OPEN — on official Hamad International Airport website,,
Airport Tandoor,Concourse C,Airside,,,,,,,Indian & South Asian,"Indian, Curry, BBQ","An Indian restaurant serving tandoor-cooked breads, kebabs, and curry dishes from the clay oven.",24 hours,,,yes,yes,,OPEN — on official Hamad International Airport website,,
Baladna,,Airside,,,,,,,Café,"Café, Dairy, Juices, Smoothies","A Qatari dairy and cafe brand serving fresh milk drinks, laban, yogurt, juices, and light cafe snacks.",24 hours,,,yes,yes,yes,OPEN — on official Hamad International Airport website,,https://img.logo.dev/baladna.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Baladna Express,Concourse C,Airside,,,,,,,Café,"Café, Dairy, Juices","The express grab-and-go format of Baladna, offering quick dairy drinks, juices, and light snacks.",24 hours,,,yes,yes,yes,OPEN — on official Hamad International Airport website,,
Basta,Concourse C,Airside,,,,,,,Middle Eastern,"Qatari, Middle Eastern, Breakfast",A Qatari-themed restaurant serving traditional Qatari and Middle Eastern dishes in a setting celebrating local culture.,24 hours,,,yes,yes,,OPEN — on official Hamad International Airport website,,
Burger King,Concourse A,Airside,,,,,,,Fast Food,"Fast Food, Burgers, American",Burger King is a global American fast food chain best known for the flame-grilled Whopper burger and its 'Have It Your Way' customisation philosophy.,24 hours,,,yes,,,OPEN — on official Hamad International Airport website,,https://img.logo.dev/bk.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Burger King,Concourse C,Airside,,,,,,,Fast Food,"Fast Food, Burgers, American",Burger King is a global American fast food chain best known for the flame-grilled Whopper burger and its 'Have It Your Way' customisation philosophy.,24 hours,,,yes,,,OPEN — on official Hamad International Airport website,,https://img.logo.dev/bk.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Burgeri,Concourse C,Airside,,,,,,,Burgers,"Burgers, Gourmet, American Diner",A burger restaurant serving American-style gourmet burgers with quality beef patties and creative toppings.,24 hours,,,,,OPEN — on official Hamad International Airport website,,,
Chac'late,Concourse C,Airside,,,,,,,Desserts,"Chocolates, Café, Sweets, Qatari","A chocolate boutique and cafe serving artisan chocolates, pralines, and hot chocolate drinks.",24 hours,,,yes,yes,yes,OPEN — on official Hamad International Airport website,,
Chapati & Karak,Concourse C,Airside,,,,,,,"Indian & South Asian, Fast Food","Karak Tea, Chapati, Indian Street Food","An Indian street food cafe serving karak chai (spiced tea), chapati wraps, samosas, and other South Asian street snacks.",24 hours,,,yes,yes,,OPEN — on official Hamad International Airport website,,
