"name","terminal","concourse","airside","gate","address","phone","website","cuisine","categories","description","opening_hours","wheelchair","takeaway","halal","vegetarian_options","vegan_options","verified_status","osm_id"
"Africa Lounge","Main Terminal","Concourse A","Airside","A4","Near Gate A4","","","","","Celebrating African and American cuisine, the restaurant features African-inspired dishes alongside American classics.","","","","","","","OPEN — on official SEA Airport website",""
"Bad Egg Breakfast Bar","Main Terminal","North Satellite","Airside","N5","Near Gate N5","","","","","This hip spot's energy is like none other — local, rebellious, made-from-scratch breakfast all day.","","","","","","","OPEN — on official SEA Airport website",""
"Ballard Brew Hall","Main Terminal","Concourse D","Airside","D7","Near Gate D7","","","","","A full-service bar and restaurant where craft beer meets Pacific Northwest food.","","","","","","","OPEN — on official SEA Airport website",""
"Bambuza Vietnam Kitchen & Bar","Main Terminal","North Satellite","Airside","N19","Near Gate N19","","","","","Proudly offering cherished Vietnamese recipes alongside innovative cocktails.","","","","","","","OPEN — on official SEA Airport website",""
"Beecher's Handmade Cheese","Main Terminal","North Satellite","Airside","N11","Near Gate N11","","","","","Located in Seattle's Pike Place Market and New York City's Flatiron District — artisan cheese and comfort food.","","","","","","","OPEN — on official SEA Airport website",""
"BrewTop Social","Main Terminal","","Landside","","Central Terminal","","","","","Located above Salty's at the SEA in the Central Terminal, BrewTop Social offers craft beers and pub fare.","","","","","","","OPEN — on official SEA Airport website",""
"Buffalo Wild Wings","Main Terminal","Concourse C","Airside","C2","Near Gate C2","","","","","Opening June 2026","","","","","","","OPEN — on official SEA Airport website",""
"Caffe D'arte","Main Terminal","Concourse A","Airside","A10","Near Gate A10","","","","","The premier Northwest artisan coffee roaster serving espresso-based drinks and pastries.","","","","","","","OPEN — on official SEA Airport website",""
"Caffe D'arte","Main Terminal","North Satellite","Airside","N13","Near Gate N13","","","","","The premier Northwest artisan coffee roaster serving espresso-based drinks and pastries.","","","","","","","OPEN — on official SEA Airport website",""
"Camden Food Co.","Main Terminal","Concourse D","Airside","D5","Near Gate D5","","","","","A balanced approach to traveler's dining — wholesome sandwiches, salads, and grab-and-go items.","","","","","","","OPEN — on official SEA Airport website",""
"Capitol Hill Food Hall","Main Terminal","Concourse A","Airside","A4","Near Gate A4","","","","","A bustling urban foodie market featuring multiple local food concepts.","","","","","","","OPEN — on official SEA Airport website",""
"Chili's","Main Terminal","Concourse C","Airside","C2","Near Gate C2","","","","","Opening June 2026","","","","","","","OPEN — on official SEA Airport website",""
"Costa Coffee","Main Terminal","North Satellite","Airside","N10","Near Gate N10","","","","","The Costa Coffee experience at SEA offers customisable coffees and light bites.","","","","","","","OPEN — on official SEA Airport website",""
"Dilettante Mocha Cafe","Main Terminal","","Landside","","Central Terminal","","","","","Founded in 1976 in downtown Seattle, Dilettante specialises in exceptional chocolates and mochas.","","","","","","","OPEN — on official SEA Airport website",""
"Dish D'Lish","Main Terminal","Concourse C","Airside","C11","Near Gate C11","","","","","Local Chef Kathy Casey's restaurant offering healthy food to go.","","","","","","","OPEN — on official SEA Airport website",""
"Embarque Whiskey Grill","Main Terminal","North Satellite","Airside","N3","Near Gate N3","","","","","Celebrates the Best Bar Experience with an extensive whiskey selection and hearty grill menu.","","","","","","","OPEN — on official SEA Airport website",""
"Evergreens","Main Terminal","","Landside","","Central Terminal","","","","","A made-to-order, fast-casual restaurant concept serving fresh salads and bowls.","","","","","","","OPEN — on official SEA Airport website",""
"Floret by Cafe Flora","Main Terminal","Concourse A","Airside","A1","Near Gate A1","","","","","A full service restaurant and bar featuring plant-forward Pacific Northwest cuisine.","","","","","","","OPEN — on official SEA Airport website",""
"Great State Burger","Main Terminal","Concourse C","Airside","C2","Near Gate C2","","","","","Opening June 2026","","","","","","","OPEN — on official SEA Airport website",""
"Greedy Cow Burger","Main Terminal","South Satellite","Airside","S3","Near Gate S3","","","","","Juicy lip-smacking gourmet burgers made with premium ingredients.","","","","","","","OPEN — on official SEA Airport website",""
"Hachi-ko","Main Terminal","Concourse C","Airside","C10","Near Gate C10","","","","","Japanese-inspired cuisine celebrating the legendary loyal dog of Tokyo.","","","","","","","OPEN — on official SEA Airport website",""
"Koi Shi Sushi Bar","Main Terminal","South Satellite","Airside","S9","Near Gate S9","","","","","Fresh, handcrafted sushi rolls and Japanese dishes in the South Satellite.","","","","","","","OPEN — on official SEA Airport website",""
"La Vie En Rose","Main Terminal","North Satellite","Airside","N18","Near Gate N18","","","","","A French-inspired café serving pastries, coffee, and light meals.","","","","","","","OPEN — on official SEA Airport website",""
"Lunchbox Laboratory","Main Terminal","Concourse A","Airside","A14","Near Gate A14","","","","","Known for creative burgers and milkshakes, Lunchbox Laboratory brings its bold flavours to SEA.","","","","","","","OPEN — on official SEA Airport website",""
"Lucky Louie Fish Shack","Main Terminal","","Landside","","Central Terminal","","","","","Proud to serve NW-inspired fish and chips, clam chowder, and Pacific seafood classics.","","","","","","","OPEN — on official SEA Airport website",""
"Manchu WOK","Main Terminal","Concourse A","Airside","A4","Near Gate A4","","","","","Fast and fresh Chinese cuisine featuring wok-cooked rice, noodles, and entrées.","","","","","","","OPEN — on official SEA Airport website",""
"McDonald's","Main Terminal","Concourse B","Airside","B1","Near Gate B1","","","","","Burgers, fries, and more — a well-known favourite.","","","","","","","OPEN — on official SEA Airport website",""
"Mi Casa Cantina","Main Terminal","Concourse B","Airside","B8","Near Gate B8","","","","","Bringing the fiesta airside in a fun-filled, modern Cantina serving Mexican classics.","","","","","","","OPEN — on official SEA Airport website",""
"Moe's Indian Kitchen","Main Terminal","South Satellite","Airside","S9","Near Gate S9","","","","","Specialises in authentic Indian cuisine with a focus on bold spices and traditional recipes.","","","","","","","OPEN — on official SEA Airport website",""
"Mountain Room","Main Terminal","Concourse A","Airside","A14","Near Gate A14","","","","","A cosy, rustic lounge with a fireplace and Pacific Northwest-inspired menu.","","","","","","","OPEN — on official SEA Airport website",""
"Nanny's Northwest BBQ Joint","Main Terminal","Concourse C","Airside","C2","Near Gate C2","","","","","Opening June 2026","","","","","","","OPEN — on official SEA Airport website",""
"Neighborhood Bubble Tea & Coffee","Main Terminal","Concourse D","Airside","D21","Near Gate D21","","","","","SEA Airport's first bubble/boba tea shop offering teas, coffees, and Asian snacks.","","","","","","","OPEN — on official SEA Airport website",""
"Neighborhood Cafe","Main Terminal","","Landside","","Near Checkpoint 4","","","","","A beloved SEA café serving signature Filipino-inspired signature drinks and food.","","","","","","","OPEN — on official SEA Airport website",""
"Ninth & Pike","Main Terminal","Concourse C","Airside","C10","Near Gate C10","","","","","Elevated food and lifted spirits — a full bar and restaurant concept.","","","","","","","OPEN — on official SEA Airport website",""
"Open Space Tap Room","Main Terminal","North Satellite","Airside","N10","Near Gate N10","","","","","A beer garden with Pacific Northwest craft beers on tap.","","","","","","","OPEN — on official SEA Airport website",""
"Pacific Market","Main Terminal","Concourse C","Airside","C10","Near Gate C10","","","","","A grab-and-go market stocked with fresh meals, snacks, and travel essentials.","","","","","","","OPEN — on official SEA Airport website",""
"Poke to the Max","Main Terminal","Concourse D","Airside","D6","Near Gate D6","","","","","Award-winning poke bowls from acclaimed Seattle chef.","","","","","","","OPEN — on official SEA Airport website",""
"Port of Subs","Main Terminal","Concourse C","Airside","C2","Near Gate C2","","","","","Opening June 2026","","","","","","","OPEN — on official SEA Airport website",""
"QDOBA Mexican Eats","Main Terminal","","Landside","","Central Terminal","","","","","A fast-casual Mexican restaurant with burritos, tacos, and bowls.","","","","","","","OPEN — on official SEA Airport website",""
"Rel'Lish Burger Lounge","Main Terminal","Concourse B","Airside","B4","Near Gate B4","","","","","Unique handcrafted burgers, fresh salads, and craft beers.","","","","","","","OPEN — on official SEA Airport website",""
"Salty's at the SEA","Main Terminal","","Landside","","Central Terminal","","","","","Iconic Pacific Northwest seafood restaurant serving fresh seafood, cocktails, and stunning views.","","","","","","","OPEN — on official SEA Airport website",""
"Seattle Beer Union","Main Terminal","Concourse A","Airside","A10","Near Gate A10","","","","","Inspired by the Pacific Northwest's craft brewing culture with a rotating tap list.","","","","","","","OPEN — on official SEA Airport website",""
"Seattle Dawg House","Main Terminal","Concourse D","Airside","D3","Near Gate D3","","","","","Fresh food in a modern sports-bar setting, serving hot dogs, burgers, and stadium favourites.","","","","","","","OPEN — on official SEA Airport website",""
"Skillet","Main Terminal","Concourse C","Airside","C10","Near Gate C10","","","","","Pacific Northwest-inspired casual dining from the acclaimed Skillet Street Food brand.","","","","","","","OPEN — on official SEA Airport website",""
"Skillet","Main Terminal","North Satellite","Airside","N18","Near Gate N18","","","","","Pacific Northwest-inspired casual dining from the acclaimed Skillet Street Food brand.","","","","","","","OPEN — on official SEA Airport website",""
"Sourced Market","Main Terminal","","Landside","","Ticketing Near Checkpoint 3","","","","","Showcases the best in gourmet fare from the Pacific Northwest — artisan foods, snacks, and deli items.","","","","","","","OPEN — on official SEA Airport website",""
"Starbucks","Main Terminal","Concourse A","Airside","A3","Near Gate A3","","","","","The world's favourite coffeehouse serving handcrafted beverages and light bites.","","","","","","","OPEN — on official SEA Airport website",""
"Starbucks","Main Terminal","Concourse C","Airside","C10","Near Gate C10","","","","","The world's favourite coffeehouse serving handcrafted beverages and light bites.","","","","","","","OPEN — on official SEA Airport website",""
"Starbucks","Main Terminal","Concourse D","Airside","D2","Near Gate D2","","","","","The world's favourite coffeehouse serving handcrafted beverages and light bites.","","","","","","","OPEN — on official SEA Airport website",""
"Starbucks (Baggage Claim)","Main Terminal","","Landside","","Near Baggage Claim 6","","","","","The world's favourite coffeehouse — pre-security location near baggage claim.","","","","","","","OPEN — on official SEA Airport website",""
"Starbucks Evenings","Main Terminal","","Landside","","Central Terminal","","","","","Starbucks Evenings offers coffee plus a curated selection of small plates, wine, and beer.","","","","","","","OPEN — on official SEA Airport website",""
"Village Pub","Main Terminal","North Satellite","Airside","N9","Near Gate N9","","","","","A modern pub in the N Concourse with craft beers, cocktails, and bar food.","","","","","","","OPEN — on official SEA Airport website",""
"Vyne Washington Tasting Room","Main Terminal","","Landside","","Central Terminal","","","","","Brings the traveller on a cutting-edge wine journey celebrating Washington State wines.","","","","","","","OPEN — on official SEA Airport website",""
"Wanderlust","Main Terminal","Concourse C","Airside","C2","Near Gate C2","","","","","Opening June 2026","","","","","","","OPEN — on official SEA Airport website",""
"Wendy's","Main Terminal","North Satellite","Airside","N11","Near Gate N11","","","","","Fresh, never-frozen beef burgers, crispy fries, and signature Frosty desserts.","","","","","","","OPEN — on official SEA Airport website",""
