name,terminal,airside,categories,lat,lon,phone,website,opening_hours,floor_level,wheelchair,takeaway,description,verified_status,osm_id,cuisine,logo_url
12oz,Terminal 1,,Cafeteria,,,,,,,,,"A specialty coffee bar serving high-quality espresso drinks by weight, with a focus on precision brewing.", snacks and light meals in Terminal 1.,OPEN — on official FCO website,Café,
Amorino,Terminal 3,,,"Ice Cream, Café",,,,,,,,"Amorino is an Italian gelato chain celebrated for its flower-shaped cones filled with artisanal, natural-ingredient gelato and sorbets made from authentic Italian recipes.",Italian gelato chain with artisan flower-shaped gelato and macarons.,OPEN — on official FCO website,"Desserts, Italian",https://img.logo.dev/amorino.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Bistrot,Terminal 3,,Cafeteria,,,,,,,,,"A casual Italian bistro serving light pasta, sandwiches, and classic Italian cafe fare.", pastries and hot drinks.,OPEN — on official FCO website,Italian,
Bonci,Terminal 3,,,"Bakery, Pizza",,,,,,,,"A Roman pizza al taglio (pizza by the cut) outlet from legendary Roman pizzaiolo Gabriele Bonci, serving thick-based Roman-style pizza with creative seasonal toppings.",Roman pizza al taglio pioneer Gabriele Bonci's concept with seasonal toppings on fresh dough.,OPEN — on official FCO website,"Pizza, Italian",https://img.logo.dev/bonciusa.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Caffè Napoli,Terminal 3,,"Coffee, Café",,,,,,,,,"A Neapolitan-style coffee bar serving authentic Southern Italian espresso, sfogliatella pastries, and traditional Neapolitan coffee culture.", pastries and light bites.,OPEN — on official FCO website,"Café, Italian",
Caffè Vergnano - Women in Coffee,Terminal 3,,"Coffee, Café",,,,,,,,,"A specialty coffee bar from Italian brand Caffè Vergnano, honoring women in coffee with certified sustainable single-origin espresso drinks.",OPEN — on official FCO website,,"Café, Italian",
Caffè Vergnano,Terminal 1,,"Coffee, Café",,,,,,,,,"Caffè Vergnano is a historic Italian coffee brand established in 1882, operating espresso bars worldwide and serving premium Italian coffee in airports and city locations.",OPEN — on official FCO website,,"Café, Italian",https://img.logo.dev/caffevergnano.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Cioccolati italiani,Terminal 1,,"Ice Cream, Café",,,,,,,,,"A premium Italian chocolate gelato chain serving innovative chocolate-based gelato, hot chocolates, and artisan pralines.",OPEN — on official FCO website,,"Italian, Desserts",https://img.logo.dev/cioccolatiitaliani.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Rossopomodoro,Terminal 1,,"Restaurant, Italian",,,,,,,,,"Rossopomodoro is an Italian pizza chain from Naples committed to authentic Vera Pizza Napoletana, using San Marzano tomatoes, buffalo mozzarella, and traditional techniques.", pasta and Italian specialities.,OPEN — on official FCO website,"Pizza, Italian",https://img.logo.dev/rossopomodoro.it?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Tentazioni Cafè,Terminal 3,Airside,"Cafeteria, Food",,,,,,,,,"An Italian cafe and pastry bar serving espresso drinks, Italian pastries, and light savory snacks.", snacks and light meals.,OPEN — on official FCO website,"Café, Italian",
Bistro by Mastercard,Terminal 3,Airside,"Restaurant, Bar",,,,,,,,,"A premium bistro concept in partnership with Mastercard, offering complimentary food and drinks to eligible cardholders.",OPEN — on official FCO website,,International,
Farinella T3,Terminal 3,Airside,"Bakery, Restaurant",,,,,,,,,"The Terminal 3 location of Farinella, serving Roman-style flatbreads, pizza, and Italian baked goods.", focaccia and seasonal dishes.,OPEN — on official FCO website,"Bakery, Italian",
Sophia Loren,Terminal 3,Airside,"Restaurant, Italian",,,,,,,,,"Sophia Loren is an Italian-themed restaurant or bar concept, named after the iconic actress, serving Italian cuisine and aperitivos.",OPEN — on official FCO website,,"Italian, Bar",
Temakinho,Terminal 3,Airside,"Restaurant, Japanese",,,,,,,,,A Brazilian-Japanese fusion restaurant known for temaki (hand-roll sushi cones) with tropical Brazilian-inspired fillings and ingredients.,OPEN — on official FCO website,,"Japanese, Asian, Latin American",https://img.logo.dev/temakinho.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
