name,terminal,airside,categories,lat,lon,phone,website,opening_hours,floor_level,wheelchair,takeaway,description,verified_status,osm_id,cuisine,logo_url
AIR Bakery,Main Terminal,Landside,"Bakery, Café",,,,,,Check-in 2,,,"An airport bakery serving freshly baked Swiss breads, pastries, and savoury baked goods throughout the day.", pastries and coffee in the Check-in 2 area.,OPEN — on official ZRH website,"Bakery, German, European",
AIR Restaurant,Main Terminal,Landside,Restaurant,,,,,,Check-in 2,,,A full-service restaurant serving Swiss and international dishes in a contemporary airport dining setting.,OPEN — on official ZRH website,,"German, European, International",https://img.logo.dev/airrestaurant.co.uk?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Alpenblick Bar,Main Terminal,Airside,"Bar, Swiss",,,,,,Gates E,,,"A Swiss mountain-themed bar serving Alpine beers, spirits, and classic Swiss snacks with views of the airfield.",OPEN — on official ZRH website,,"Bar, German, European",
Alpine Bar,Main Terminal,Landside,Bar,,,,,,Prime Center 1,,,"A bar offering Swiss Alpine beers, wines, and light snacks in a cosy, mountain-lodge inspired setting.", beers and light bites.,OPEN — on official ZRH website,"Bar, German, European",
Aviolino,Main Terminal,Landside,"Restaurant, Bar",,,,,,Observation Deck B,,,"An Italian restaurant serving freshly made pasta, risotto, and classic Italian dishes in a relaxed setting.",OPEN — on official ZRH website,,Italian,
Babel Restaurant,The Circle,Landside,Restaurant,,,,,,The Circle,,,A cosmopolitan restaurant serving an international menu drawing on global culinary influences.,OPEN — on official ZRH website,,International,https://img.logo.dev/babelrestaurant.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Bakeside,Main Terminal,Airside,"Bakery, Café",,,,,,Gates E,,yes,"A bakery café serving Swiss and European pastries, fresh breads, sandwiches, and coffee drinks.",OPEN — on official ZRH website,,"Bakery, Café",
Bar Iris,The Circle,Landside,Bar,,,,,,The Circle,,,"A bar serving cocktails, wines, and aperitifs alongside light bites in an elegant lounge setting.",OPEN — on official ZRH website,,Bar,https://img.logo.dev/bar-iris.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Bellevue,Main Terminal,Airside,"Restaurant, Bar",,,,,,2 locations,,,"A restaurant with views of the airport apron, serving Swiss-international dishes and Swiss wines in a classic setting.",OPEN — on official ZRH website,,"German, European, International",
Brezelkönig,Main Terminal,Airside,"Bakery, Snacks",,,,,,2 locations,,yes,"Brezelkönig is a Swiss bakery chain specialising in freshly baked soft pretzels and savoury snacks, commonly found in train stations and shopping centres.",OPEN — on official ZRH website,,Bakery,https://img.logo.dev/brezelkoenig.ch?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
