name,terminal,airside,categories,lat,lon,phone,website,opening_hours,floor_level,wheelchair,takeaway,description,verified_status,osm_id,cuisine,logo_url
A&W,Terminal 1,Airside,Fast Food,,,,,,,,,"A&W is an American fast food chain established in 1919, famous for its root beer served in frosty mugs, root beer floats, and classic American burgers and hot dogs.", chicken and fries, plus the classic root beer and ice cream floats in frosted mugs.,Fast Food,https://img.logo.dev/aweber.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Acer,Terminal 3,Airside,"Restaurant, Japanese",,,,,,,,,"A modern café and grab-and-go market serving coffee, fresh salads, and healthy snack options.", healthy dishes like sushi, dumplings,"Café, Grab & Go",
Apropos,Terminal 1,Airside,Bar,,,,,,,,,"A casual bar and lounge serving cocktails, wines, and light bites in a pre-departure setting.",OPEN — on official YYZ website,,Bar,
Archeo Pizzeria,Terminal 3,Airside,"Fast Food, Pizza",,,,,,,,,"A rustic Italian pizzeria inspired by Toronto's Distillery District, serving wood-fired Neapolitan pizza and Italian wines.",OPEN — on official YYZ website,,"Pizza, Italian",
Bar 120,Terminal 1,Airside,"Bar, Restaurant",,,,,,,,,"A cocktail and spirits bar serving a curated selection of whiskies, cocktails, and light snacks.",OPEN — on official YYZ website,,Bar,
Beerhive,Terminal 3,Airside,Bar,,,,,,,,,Beerhive is an airport bar concept offering a curated selection of craft and mainstream beers alongside pub-style food for travellers.,OPEN — on official YYZ website,,Bar,https://img.logo.dev/beerhive.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Bento Sushi,Terminal 1,Airside,"Restaurant, Japanese",,,,,,,,yes,"Bento Sushi is a Canadian sushi chain offering fresh bento boxes, sushi rolls, and Japanese meals in airports, universities, and food courts across North America.", made to order.,OPEN — on official YYZ website,"Japanese, Asian",https://img.logo.dev/bentosushi.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Boccone Pronto,Terminal 1,Airside,"Grab & Go, Italian",,,,,,,,yes,"A quick-service Italian counter serving pasta, antipasti, panini, and espresso drinks for travellers in a hurry.",OPEN — on official YYZ website,,"Italian, Fast Food",
Boccone Trattoria by Massimo Capra,Terminal 1,Airside,"Restaurant, Italian",,,,,,,,,"An Italian trattoria by Toronto chef Massimo Capra, serving hand-made pasta, risotto, and Italian classics with Canadian ingredients.", restaurant owner and cookbook author Massimo Capra.,OPEN — on official YYZ website,Italian,
Booster Juice,Terminal 1,Airside,"Café, Smoothies",,,,,,,,yes,"Booster Juice is a Canadian juice and smoothie chain offering freshly blended smoothies, juices, and health bowls made from whole, natural ingredients across North America.", fresh-squeezed juice, healthy take-out meals and snacks.,Healthy,https://img.logo.dev/boosterjuice.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Booster Juice,Terminal 3,Airside,"Café, Smoothies",,,,,,,,yes,"Booster Juice is a Canadian juice and smoothie chain offering freshly blended smoothies, juices, and health bowls made from whole, natural ingredients across North America.",OPEN — on official YYZ website,,Healthy,https://img.logo.dev/boosterjuice.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Built Custom Burgers,Terminal 1,Airside,"Fast Food, Burgers",,,,,,,,,Built Custom Burgers is an American build-your-own gourmet burger concept allowing guests to customise premium burgers with fresh toppings and house-made sauces.,OPEN — on official YYZ website,,Burgers,https://img.logo.dev/builtcustomburgers.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Camden Food Company,Terminal 1,Airside,"Market, Healthy",,,,,,,,yes,"A British-inspired café concept serving artisan sandwiches, salads, and coffee in a market-style setting.", organic and fair-trade options.,OPEN — on official YYZ website,Café,
Caplansky's Deli,Terminal 3,Airside,"Restaurant, Deli",,,,,,,,,"A Toronto Jewish deli institution serving house-cured smoked meat sandwiches, matzo ball soup, and classic deli fare.",OPEN — on official YYZ website,,Sandwiches & Deli,https://img.logo.dev/caplanskys.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
CIBO Express Gourmet Markets,Terminal 1,Airside,"Market, Grab & Go",,,,,,,,yes,"CIBO Express Gourmet Markets is a North American airport gourmet market concept offering fresh grab-and-go meals, artisan snacks, wines, and specialty beverages for travellers.", halal, kosher and vegan options.,"Café, Grab & Go",https://img.logo.dev/ciboexpress.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
CIBO Express Gourmet Markets,Terminal 1,Airside,"Market, Grab & Go",,,,,,,,yes,"CIBO Express Gourmet Markets is a North American airport gourmet market concept offering fresh grab-and-go meals, artisan snacks, wines, and specialty beverages for travellers.", salads, snacks and drinks for travel.,"Café, Grab & Go",https://img.logo.dev/ciboexpress.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Cluny Grille,Terminal 3,Airside,"Restaurant, French",,,,,,,,,"A contemporary grill restaurant inspired by Toronto's King West neighbourhood, serving steaks, seafood, and Canadian dishes.", casual and fun French-inspired meals and pastries.,OPEN — on official YYZ website,"Canadian, Steak, Grill Chicken & BBQ",
Comfort Zone,Terminal 1,Landside,"Restaurant, Café",,,,,,,,,"A casual restaurant serving hearty Canadian comfort food including poutine, burgers, and classic diner dishes.",OPEN — on official YYZ website,,Canadian,
Corso Pizza and Pasta,Terminal 3,Airside,"Restaurant, Italian",,,,,,,,,"An Italian restaurant serving handmade pasta and thin-crust pizza in a relaxed, neighbourhood trattoria style.", pasta salads and antipasti. Vegetarian options.,OPEN — on official YYZ website,Italian,
Distillery Bar,Terminal 3,Airside,Bar,,,,,,,,,"A bar inspired by Toronto's historic Distillery District, serving craft cocktails, Canadian whisky, and light snacks.",OPEN — on official YYZ website,,Bar,
El Catrin Taqueria,Terminal 3,Airside,"Restaurant, Mexican",,,,,,,,,"The airport outpost of Toronto's acclaimed El Catrin, serving authentic Mexican street tacos, guacamole, and mezcal cocktails.",OPEN — on official YYZ website,,"Mexican, Latin American",
Farmers Market,Terminal 1,Airside,"Market, Grab & Go",,,,,,,,yes,"Farmers Market is a convenience food market concept in airport terminals offering fresh, locally inspired meals, snacks, and beverages.", locally made snacks, sandwiches,"Café, Grab & Go",
Fetta,Terminal 1,Airside,"Restaurant, Mediterranean",,,,,,,,,"A Greek restaurant serving mezze, grilled lamb, souvlaki, and classic Greek salads in a convivial setting.", salads and small plates.,OPEN — on official YYZ website,"Mediterranean, European",
Fionn MacCool's,Terminal 3,Airside,"Bar, Pub",,,,,,,,,"Fionn MacCool's is a Canadian Irish pub chain offering a traditional pub experience with an extensive selection of draught beers, classic pub food, and live sports.",OPEN — on official YYZ website,,Bar,https://img.logo.dev/fionnmaccools.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Freshii,Terminal 3,Landside,"Restaurant, Healthy",,,,,,,,yes,"Freshii is a Canadian healthy fast food franchise offering burritos, bowls, salads, juices, and smoothies made with fresh, nutritious ingredients.",OPEN — on official YYZ website,,"Healthy, Fast Food",https://img.logo.dev/freshii.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Heirloom Bakery Cafe,Terminal 1,Airside,"Bakery, Café",,,,,,,,,"Heirloom Bakery Cafe is an artisan bakery and café offering heritage-recipe baked goods, pastries, and specialty coffees in airport and urban settings.", salads, sandwiches and baked goods from Toronto baker Devin Connell. Vegetarian options.,"Bakery, Café",
Heirloom Bakery Cafe,Terminal 3,Airside,"Bakery, Café",,,,,,,,,"Heirloom Bakery Cafe is an artisan bakery and café offering heritage-recipe baked goods, pastries, and specialty coffees in airport and urban settings.", made to order from local ingredients. Vegetarian options.,OPEN — on official YYZ website,"Bakery, Café",
