name,terminal,airside,categories,lat,lon,phone,website,opening_hours,floor_level,wheelchair,takeaway,description,verified_status,osm_id,cuisine,logo_url
Asian Chao - Gates 100-129,Terminal A & B,Airside,"Restaurant, Asian",,,,,,,,,"A pan-Asian fast-casual restaurant serving wok-fired noodles, fried rice, and Chinese-inspired dishes.",OPEN — on official MCO website,,Asian,
Auntie Anne's,Terminal A & B,Airside,"Bakery, Snacks",,,,,,,,,"Auntie Anne's is an American pretzel bakery chain famous for its hand-rolled, freshly baked soft pretzels served plain or in sweet and savoury varieties.",OPEN — on official MCO website,,Bakery,https://img.logo.dev/auntieannes.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Auntie Anne's,Terminal A & B,Airside,"Bakery, Snacks",,,,,,,,,"Auntie Anne's is an American pretzel bakery chain famous for its hand-rolled, freshly baked soft pretzels served plain or in sweet and savoury varieties.",OPEN — on official MCO website,,Bakery,https://img.logo.dev/auntieannes.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Auntie Anne's,Terminal C,Airside,"Bakery, Snacks",,,,,,,,,"Auntie Anne's is an American pretzel bakery chain famous for its hand-rolled, freshly baked soft pretzels served plain or in sweet and savoury varieties.",OPEN — on official MCO website,,Bakery,https://img.logo.dev/auntieannes.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Bahama Breeze - Gates 70-79,Terminal A & B,Airside,"Restaurant, Bar",,,,,,,,,"A Caribbean-inspired island restaurant from Darden, serving jerk chicken, fish tacos, tropical cocktails, and Caribbean comfort food.",OPEN — on official MCO website,,Latin American,
Bananas Smoothies & Frozen Yogurt - Gates 100-129,Terminal A & B,Airside,"Café, Smoothies",,,,,,,,,A tropical-themed smoothie and frozen yogurt bar serving blended fruit smoothies and self-serve frozen yogurt.,OPEN — on official MCO website,,"Healthy, Desserts",
Barnie's Coffee & Tea Co.,Terminal C,Airside,"Coffee, Café",,,,,,,,,"An Orlando-born specialty coffee and tea company serving artisan espresso drinks, teas, and flavored coffees.",OPEN — on official MCO website,,Café,
Burger King,Terminal A & B,Airside,Fast Food,,,,,,,,,Burger King is a global American fast food chain best known for the flame-grilled Whopper burger and its 'Have It Your Way' customisation philosophy.,OPEN — on official MCO website,,Fast Food,https://img.logo.dev/bk.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
CIBO Express - Gate 72,Terminal A & B,Airside,"Market, Grab & Go",,,,,,,,,"A gourmet grab-and-go market offering pre-packaged meals, salads, sandwiches, and specialty coffee.", grab-and-go meals and travel essentials.,OPEN — on official MCO website,Grab & Go,https://img.logo.dev/ciboexpress.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
CIBO Express - Gate 80,Terminal A & B,Airside,"Market, Grab & Go",,,,,,,,,"A CIBO Express market at Gate 80 offering grab-and-go food, beverages, and snacks.", grab-and-go meals and travel essentials.,OPEN — on official MCO website,Grab & Go,https://img.logo.dev/ciboexpress.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
CIBO Express - Gate 92,Terminal A & B,Airside,"Market, Grab & Go",,,,,,,,,A CIBO Express grab-and-go market at Gate 92 offering pre-packaged meals and specialty beverages., grab-and-go meals and travel essentials.,OPEN — on official MCO website,Grab & Go,https://img.logo.dev/ciboexpress.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
