name,terminal,airside,categories,lat,lon,phone,website,opening_hours,floor_level,wheelchair,takeaway,description,verified_status,osm_id
AMORE,"Terminal 1, Area A",Airside,Restaurant,,,,,,,,,"Italian restaurant with pasta, pizza and antipasti.",OPEN — on official FRA website,
Goodman & Filippo,"Terminal 1, Area A",Airside,"Coffee, Café",50.046656,8.567639,,,,,,,"Coffee and dessert concept with specialty cakes, pastries and hot drinks.",OPEN — on official FRA website,4817520932
Hausmann's Bar (To Go) by Tim Mälzer,"Terminal 1, Area A",Airside,"Café, Bar",50.048519,8.567621,,,,,,,"Grab-and-go bar from German celebrity chef Tim Mälzer with sandwiches, pastries and coffee.",OPEN — on official FRA website,9981856752
Hausmann's Restaurant (by Tim Mälzer),"Terminal 1, Area A",Airside,Restaurant,50.048378,8.56772,+49 69 69027541,http://www.hausmanns-frankfurt.de,,,,yes,Sit-down restaurant from celebrity chef Tim Mälzer serving German bistro dishes with fresh regional ingredients.,OPEN — on official FRA website,6527929819
Heberer's Traditional Bakery,"Terminal 1, Area A",Airside,"Bakery, Café",50.048607,8.568696,,,,,yes,,"Frankfurt's traditional bakery chain with fresh breads, pastries and coffees.",OPEN — on official FRA website,3321108527
Hermann's,"Terminal 1, Area A",Airside,Fast Food,50.045643,8.566611,,,,,yes,,"German casual fast food with sausages, currywurst and regional Frankfurt snacks.",OPEN — on official FRA website,5982761510
Hermann's Mobile,"Terminal 1, Area A",Airside,Fast Food,,,,,,,,,"Mobile kiosk version of Hermann's with currywurst, sausages and German fast food on the go.",OPEN — on official FRA website,
Manga Sushi,"Terminal 1, Area A",Airside,Restaurant,,,,,,,,,"Japanese sushi restaurant with a wide selection of rolls, nigiri and Asian fusion dishes.",OPEN — on official FRA website,
Meyer Deli Coffee Kitchen,"Terminal 1, Area A",Airside,"Coffee, Fast Food",50.049064,8.569467,,,,,yes,,"Deli coffee kitchen with specialty coffees, fresh sandwiches and light bites.",OPEN — on official FRA website,4817525945
Natoo,"Terminal 1, Area A",Airside,Café,50.048573,8.567474,,,,,yes,,Healthy salad bar with build-your-own bowls and fresh ingredients.,OPEN — on official FRA website,9981856749
