name,terminal,airside,categories,lat,lon,phone,website,opening_hours,floor_level,wheelchair,takeaway,description,verified_status,osm_id,cuisine,logo_url
Cockpit,Terminal 1,Airside,"Coffee, Café, Bakery",,,,,,,,,An aviation-themed bar and restaurant serving Portuguese and international dishes alongside cocktails and beers.,OPEN — on official LIS website,,"European, International",
Cockpit Coffee Shop,Terminal 1,Airside,"Coffee, Café, Bakery",,,,,,,,yes,"An aviation-themed coffee shop serving Portuguese coffee, including bica espresso and galão, alongside pastries.",OPEN — on official LIS website,,Café,
Confeitaria Nacional,Terminal 1,Landside,"Bakery, Café, Portuguese",,,,,,,,yes,"A branch of one of Lisbon's oldest and most beloved confectioneries, serving traditional Portuguese pastries including pastéis de nata and bolo rei.",OPEN — on official LIS website,,"Bakery, European",https://img.logo.dev/confeitarianacional.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Delta Café,Terminal 1,Landside,"Coffee, Café",,,,,,,,yes,"A Portuguese coffee brand Delta's airport cafe, serving their signature espresso and Portuguese-style coffee drinks with pastries.",OPEN — on official LIS website,,Café,https://img.logo.dev/deltacafes.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Delta Café Central,Terminal 1,Airside,"Coffee, Café",,,,,,,,yes,"The central Delta Café location offering Portuguese coffee, sandwiches, and snacks throughout the terminal.",OPEN — on official LIS website,,Café,
Dots Bakery,Terminal 1,Airside,"Bakery, Café",,,,,,,,yes,"A modern bakery serving artisan doughnuts, pastries, and specialty coffee drinks.",OPEN — on official LIS website,,"Bakery, Café",
First Café,Terminal 1,Airside,"Coffee, Café",,,,,,,,yes,"A quick-service cafe serving espresso, bica coffee, pastries, and light Portuguese snacks.",OPEN — on official LIS website,,"Café, European",
First Class Café,Terminal 1,Airside,"Coffee, Café, Bar",,,,,,,,yes,"A premium cafe concept serving quality coffee drinks, pastries, and light meals in a refined setting.",OPEN — on official LIS website,,Café,
Go Natural,Terminal 1,Airside,"Restaurant, Healthy, Sushi",,,,,,,,yes,"A Portuguese health food chain serving fresh salads, soups, sandwiches, and organic juices.",OPEN — on official LIS website,,Healthy,https://img.logo.dev/gonaturalite.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Go To Café,Terminal 1,Landside,"Coffee, Café, Grab & Go",,,,,,,,yes,"A grab-and-go cafe offering quick coffee, pastries, and light snacks for travelers in a rush.",OPEN — on official LIS website,,"Café, Grab & Go",
Grab & Fly,Terminal 1,Landside,"Café, Grab & Go",,,,,,,,yes,"Grab & Fly is an airport food and beverage concept offering ready-to-go meals, snacks, and drinks for passengers on the move.",OPEN — on official LIS website,,"Café, Grab & Go",
Hédiard,Terminal 1,Airside,"Bar, Delicatessen, Café",,,,,,,,yes,"A Parisian luxury grocery and gourmet store serving high-end food products, champagnes, and artisan French delicacies.",OPEN — on official LIS website,,"French, European",https://img.logo.dev/hediard.fr?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Heineken Grand Café,Terminal 1,,"Bar, Restaurant",,,,,,,,yes,"A Heineken-branded grand cafe serving Heineken beer on tap, European lagers, and classic pub food.",OPEN — on official LIS website,,Bar,
Ice Cream & Flowers,Terminal 1,Landside,"Ice Cream, Dessert",,,,,,,,yes,"A Portuguese artisan ice cream boutique serving fresh ice cream, sorbets, and handmade floral-inspired confections.",OPEN — on official LIS website,,Desserts,
Just Arrived,Terminal 1,Airside,"Coffee, Café, Grab & Go",,,,,,,,yes,"An arrivals-area cafe and restaurant serving light meals, coffee, and snacks for arriving passengers.",OPEN — on official LIS website,,"Café, European",
KFC,Terminal 1,Airside,Fast Food,,,,,,,,yes,"KFC (Kentucky Fried Chicken) is a global fast food chain founded by Colonel Harland Sanders, famous for its original recipe fried chicken seasoned with 11 herbs and spices.", sides and signature sauces.,OPEN — on official LIS website,"Fast Food, Steak, Grill Chicken & BBQ",https://img.logo.dev/kfc.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
La Pausa Self Service,Terminal 1,Landside,"Restaurant, Portuguese",,,,,,,,yes,A self-service cafeteria offering a variety of Portuguese and international hot dishes and snacks.,OPEN — on official LIS website,,"European, International",
My Bistro,Terminal 1,Landside,"Restaurant, International, Portuguese",,,,,,,,yes,"A casual bistro serving Portuguese and international light meals, sandwiches, and café drinks throughout the day.", sandwiches, steaks,"Café, European",https://img.logo.dev/mybistro-cafe.de?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
My Bistro Coffee & Drinks,Terminal 1,Landside,"Café, Bar",,,,,,,,yes,"A coffee and drinks kiosk serving quick espresso drinks, juices, and light Portuguese pastries.", beers, small bites and a relaxed atmosphere.,Café,
McCafé,Terminal 1,Airside,"Coffee, Café",,,,,,,,yes,"McCafé is McDonald's premium café sub-brand serving handcrafted espresso drinks, frappes, smoothies, and baked goods alongside the McDonald's menu.", espressos and pastries.,OPEN — on official LIS website,Café,https://img.logo.dev/mcdonalds.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
McDonald's,Terminal 1,Airside,Fast Food,,,,,,,,yes,"McDonald's is the world's largest fast food chain, serving billions of customers daily with iconic menu items including the Big Mac, McChicken, and golden french fries.", fries and breakfast items served all day.,OPEN — on official LIS website,Fast Food,https://img.logo.dev/mcdonalds.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Nespresso,Terminal 1,Airside,"Coffee, Café",,,,,,,,yes,A Nespresso-branded coffee boutique and bar serving premium machine-brewed espresso drinks and light accompaniments.,OPEN — on official LIS website,,Café,https://img.logo.dev/nespresso.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
O Mercado,Terminal 1,Airside,"Bar, Café, Portuguese",,,,,,,,yes,"A Portuguese market-style restaurant serving traditional Portuguese dishes including bacalhau, grilled meats, and market-fresh ingredients.", small bites and specialty coffees.,OPEN — on official LIS website,European,
Padaria Lisboa,Terminal 1,Landside,"Bakery, Café, Portuguese",,,,,,,,yes,"A Lisbon bakery serving freshly baked Portuguese breads, queijadas, and pastries alongside coffee.", pastries and quality products.,OPEN — on official LIS website,"Bakery, European",https://img.logo.dev/padarialisboa.com.br?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Pane & Cuore,Terminal 1,Airside,"Restaurant, Italian",,,,,,,,yes,"An Italian-Portuguese bakery and cafe serving fresh breads, Italian-inspired pastries, and espresso drinks.", antipasti and traditional Italian products.,OPEN — on official LIS website,"Bakery, Italian, European",
Pastelaria Versailles,Terminal 1,Airside,"Café, Bakery, Portuguese",,,,,,,,yes,"An outpost of the famous Lisbon art deco cafe Versailles, serving traditional Portuguese pastries, cakes, and coffee since the early 20th century.",OPEN — on official LIS website,,"Bakery, European",
Paul,Terminal 1,Airside,"Bakery, Café, French",,,,,,,,yes,"PAUL is a French artisan bakery and café with heritage dating to 1889, offering traditional baguettes, viennoiseries, sandwiches, and pâtisseries in a classic boulangerie setting.", breads, sandwiches and coffees.,"Bakery, Café, French, European",https://img.logo.dev/paul.fr?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Pizza Hut,Terminal 1,Airside,"Restaurant, Pizza",,,,,,,,yes,"Pizza Hut is one of the world's largest pizza restaurant chains, serving pan pizzas, stuffed crusts, pasta, and sides across dine-in, delivery, and carry-out formats.",OPEN — on official LIS website,,Pizza,https://img.logo.dev/pizzahut.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Soho,Terminal 1,Airside,"Café, Restaurant, International",,,,,,,,yes,"A casual contemporary cafe and bar serving international light meals, cocktails, and coffee drinks.",OPEN — on official LIS website,,"Café, International",https://img.logo.dev/sohohouse.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Specially,Terminal 1,Airside,"Bar, Café, Grab & Go",,,,,,,,yes,"A specialty food boutique offering premium Portuguese products, wines, and packaged foods as travel gifts.", pastries, beers and quick bites in the non-Schengen gates.,"Grab & Go, European",
Starbucks,Terminal 1,,"Coffee, Café",,,,,,,,yes,"Starbucks is the world's largest coffeehouse chain, offering handcrafted espresso beverages, Frappuccinos, teas, and seasonal drinks alongside food items and merchandise.", teas, sandwiches and snacks at before and after security locations.,Café,https://img.logo.dev/starbucks.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
