name,terminal,airside,floor_level,lat,lon,address,phone,website,cuisine,categories,description,opening_hours,wheelchair,takeaway,halal,vegetarian_options,vegan_options,verified_status,osm_id
"Arabica","Terminal A","Airside",,,,,"+ 971 2 650 6777","https://arabicacoffee.ae","Coffee & Café","Coffee & Café","A renowned Japanese coffee brand offering a minimalist aesthetic and a commitment to the highest quality, single-origin coffee beans.","24 hours",,,,,,"OPEN — on official Zayed International Airport website",
"Bottega Bar","Terminal A","",,,,,"+971 2 805 8457","","Italian","Bar, Pastas, Wine","Savour Italian delicacies, fine wine, and prosecco in a stylish, relaxed setting, perfect for a moment of European indulgence.","24 hours",,,"yes","yes",,"OPEN — on official Zayed International Airport website",
"Brioche Dorée","Terminal A","",,,,,"+971 2 805 8442","","French, Bakery","Fast Food, Bakery, Coffee","A taste of France, offering fresh pastries, artisan sandwiches, and light, authentic French meals.","24 hours",,,"yes","yes","yes","OPEN — on official Zayed International Airport website",
"Burger King","Terminal A","",,,,,"+971 2 805 8024","","Burgers, Fast Food","Fast Food, Burgers","Burger King is the second largest fast food hamburger chain in the world, committed to using only the freshest ingredients.","24 hours",,,"yes",,,"OPEN — on official Zayed International Airport website",
"Butlers Chocolate Café","Terminal A","",,,,,"+971 2 805 8024","","Cafe, Chocolates","Café, Chocolates, Coffee","Indulge in luxurious hot chocolates, gourmet coffee, and a selection of handcrafted Irish chocolates and decadent treats.","24 hours",,,,,,"OPEN — on official Zayed International Airport website",
"Café Flor","Terminal A","",,,,,"+971 2 805 8443","","Cafe, Snacks","Café, Juices, Light Bites","A welcoming café providing a selection of light snacks, fresh juices, and quality coffee for a refreshing break.",,,,,,"OPEN — on official Zayed International Airport website",
"Café Ritazza","Terminal A","",,,,,"+971 2 805 8024","","Coffee, Café","Coffee & Drinks, Sandwiches","Ritazza is serving premium coffee crafted from the finest beans and brewed on traditional Italian espresso machines.","24 hours",,,"yes","yes","yes","OPEN — on official Zayed International Airport website",
"Camden Food Co.","Terminal A","",,,,,"+971 2 805 8024","","Sandwiches, Café","Café, Sandwiches, Salads, Vegan","Camden Food Co. offers wholesome and indulgent choices — from organic pre-packaged meals to freshly prepared sandwiches, pastries, and salads.","24 hours",,,"yes","yes","yes","OPEN — on official Zayed International Airport website",
"Costa Coffee","Terminal A","Airside",,,,,"+ 971 56 526 5395","","Coffee, Café","Coffee & Drinks, Sandwiches, Baked Goods","A popular UK-based coffee chain serving a wide range of hot and cold beverages, along with sandwiches and baked goods.","24 hours",,,"yes","yes","yes","OPEN — on official Zayed International Airport website",
"Culto Cafe","Terminal A","",,,,,"+971 56 524 6053","","Coffee, Italian, Café","Coffee, Pastries, Italian","Culto Cafe brings Italian coffee culture to life, serving organic specialty coffees, hot and cold drinks, pastries and Italian dishes.","24 hours",,,"yes","yes","yes","OPEN — on official Zayed International Airport website",
