name,terminal,airside,categories,lat,lon,phone,website,opening_hours,floor_level,wheelchair,takeaway,description,verified_status,osm_id
Cockpit,Terminal 1,Airside,"Coffee, Café, Bakery",,,,,,,,,Coffee shop with hot and cold beverages and freshly baked pastries.,OPEN — on official LIS website,
Cockpit Coffee Shop,Terminal 1,Airside,"Coffee, Café, Bakery",,,,,,,,yes,Coffee shop with hot and cold beverages and freshly baked pastries.,OPEN — on official LIS website,
Confeitaria Nacional,Terminal 1,Landside,"Bakery, Café, Portuguese",,,,,,,,yes,A journey through typical Portuguese pastries from Lisbon's oldest bakery — Confeitaria Nacional.,OPEN — on official LIS website,
Delta Café,Terminal 1,Landside,"Coffee, Café",,,,,,,,yes,The ideal place for a great cup of coffee and the best pastries — Delta is Portugal's iconic coffee brand.,OPEN — on official LIS website,
Delta Café Central,Terminal 1,Airside,"Coffee, Café",,,,,,,,yes,Portuguese coffee brand Delta with specialty coffees and freshly baked pastries airside.,OPEN — on official LIS website,
Dots Bakery,Terminal 1,Airside,"Bakery, Café",,,,,,,,yes,Creative bakery offering alternatives to classic Portuguese pastry with innovative baked goods.,OPEN — on official LIS website,
First Café,Terminal 1,Airside,"Coffee, Café",,,,,,,,yes,Café and snack stop in the arrivals area for those waiting for bags or a quick coffee.,OPEN — on official LIS website,
First Class Café,Terminal 1,Airside,"Coffee, Café, Bar",,,,,,,,yes,Premium café and bar in the non-Schengen airside area with coffees and light bites.,OPEN — on official LIS website,
Go Natural,Terminal 1,Airside,"Restaurant, Healthy, Sushi",,,,,,,,yes,Healthy fast food concept with lots of flavour including a sushi bar and organic options.,OPEN — on official LIS website,
Go To Café,Terminal 1,Landside,"Coffee, Café, Grab & Go",,,,,,,,yes,Cosmopolitan café for breakfast and lunches with a wide selection of food and drinks throughout the day.,OPEN — on official LIS website,
Grab & Fly,Terminal 1,Landside,"Café, Grab & Go",,,,,,,,yes,Pre-packed and ready-to-go options where the offer matches the time of day and pace of travel.,OPEN — on official LIS website,
Hédiard,Terminal 1,Airside,"Bar, Delicatessen, Café",,,,,,,,yes,Prestigious French delicatessen Hédiard with a divine gastronomic experience and premium products.,OPEN — on official LIS website,
Heineken Grand Café,Terminal 1,,"Bar, Restaurant",,,,,,,,yes,Beer-focused bar with a wide and delicious range of food and drinks at two locations (before and after security).,OPEN — on official LIS website,
Ice Cream & Flowers,Terminal 1,Landside,"Ice Cream, Dessert",,,,,,,,yes,Ice cream parlour with irresistible flavours and sweet treats in the departures area.,OPEN — on official LIS website,
Just Arrived,Terminal 1,Airside,"Coffee, Café, Grab & Go",,,,,,,,yes,Café and convenience stop for arriving passengers looking for coffee and a quick bite.,OPEN — on official LIS website,
KFC,Terminal 1,Airside,"Fast Food",,,,,,,,yes,Crispy Kentucky fried chicken with tenders, sides and signature sauces.,OPEN — on official LIS website,
La Pausa Self Service,Terminal 1,Landside,"Restaurant, Portuguese",,,,,,,,yes,Quick-service self-service restaurant with a variety of lighter Portuguese meals for a fast break.,OPEN — on official LIS website,
My Bistro,Terminal 1,Landside,"Restaurant, International, Portuguese",,,,,,,,yes,All-taste restaurant with breakfast, sandwiches, steaks, pasta and typical Portuguese codfish dishes.,OPEN — on official LIS website,
My Bistro Coffee & Drinks,Terminal 1,Landside,"Café, Bar",,,,,,,,yes,Outdoor seating café and bar for coffees, beers, small bites and a relaxed atmosphere.,OPEN — on official LIS website,
McCafé,Terminal 1,Airside,"Coffee, Café",,,,,,,,yes,McDonald's premium coffee concept with Sundaes, espressos and pastries.,OPEN — on official LIS website,
McDonald's,Terminal 1,Airside,Fast Food,,,,,,,,yes,Classic burgers, fries and breakfast items served all day.,OPEN — on official LIS website,
Nespresso,Terminal 1,Airside,"Coffee, Café",,,,,,,,yes,Premium Nespresso coffee experience with high-quality espresso and accessories.,OPEN — on official LIS website,
O Mercado,Terminal 1,Airside,"Bar, Café, Portuguese",,,,,,,,yes,Market-inspired concept with Portuguese products, small bites and specialty coffees.,OPEN — on official LIS website,
Padaria Lisboa,Terminal 1,Landside,"Bakery, Café, Portuguese",,,,,,,,yes,Inspired by traditional Portuguese bakeries with fresh breads, pastries and quality products.,OPEN — on official LIS website,
Pane & Cuore,Terminal 1,Airside,"Restaurant, Italian",,,,,,,,yes,Italian grocery store concept with fresh pasta, antipasti and traditional Italian products.,OPEN — on official LIS website,
Pastelaria Versailles,Terminal 1,Airside,"Café, Bakery, Portuguese",,,,,,,,yes,The most elegant and emblematic cake shop in Lisbon — Versailles — with iconic pastries and coffees.,OPEN — on official LIS website,
Paul,Terminal 1,Airside,"Bakery, Café, French",,,,,,,,yes,Parisian artisan bakery Paul with fresh croissants, breads, sandwiches and coffees.,OPEN — on official LIS website,
Pizza Hut,Terminal 1,Airside,"Restaurant, Pizza",,,,,,,,yes,Delicious slices of pizza with a variety of new flavours and classic toppings.,OPEN — on official LIS website,
Soho,Terminal 1,Airside,"Café, Restaurant, International",,,,,,,,yes,Fair-trade and organic coffee concept with international food options at two airside locations.,OPEN — on official LIS website,
Specially,Terminal 1,Airside,"Bar, Café, Grab & Go",,,,,,,,yes,Last stop before boarding with sandwiches, pastries, beers and quick bites in the non-Schengen gates.,OPEN — on official LIS website,
Starbucks,Terminal 1,,"Coffee, Café",,,,,,,,yes,Customised espresso drinks, teas, sandwiches and snacks at before and after security locations.,OPEN — on official LIS website,
