name,terminal,airside,categories,lat,lon,phone,website,opening_hours,floor_level,wheelchair,takeaway,description,verified_status,osm_id
Adelholzener Bar,Terminal 1,,Bar,,,,,,,,,Alpine mineral water bar with light refreshments from the Alps.,OPEN — on official MUC website,
Airbräu,Terminal 1,,"Bar, Brewery, Bavarian",,,,,,,,,Munich Airport's own brewery serving authentic Bavarian home-brewed beers in a beautiful beer garden.,OPEN — on official MUC website,
Airbräu Next to Heaven,Terminal 1,,"Bar, Bavarian",,,,,,,,,Last stop for home-style Bavarian hospitality before departure with classic beers and snacks.,OPEN — on official MUC website,
Airport Oliva,Terminal 2,,"Restaurant, Mediterranean",,,,,,,,,Mediterranean and Turkish delicacies including olive-based dishes and regional specialities.,OPEN — on official MUC website,
Alfredo Bar & Biergarten,Terminal 1,,"Bar, Bavarian",,,,,,,,,Relaxed café and beer garden with a classic Bavarian atmosphere.,OPEN — on official MUC website,
Apollinaris Bar,Terminal 2,,"Bar",,,,,,,,,Water bar and refreshment stop with Apollinaris mineral waters and soft drinks.,OPEN — on official MUC website,
Backstube Wünsche,Terminal 2,,"Bakery, Café",,,,,,,,,Traditional Bavarian bakery with fresh-baked breads, pretzels and pastries.,OPEN — on official MUC website,
Bamee,Terminal 1,,"Restaurant, Thai",,,,,,,,,Authentic Thai cuisine with noodle dishes, curries and Asian specialities.,OPEN — on official MUC website,
Bluebird Bar,Terminal 1,,Bar,,,,,,,,,Late-night bar open until the last flight with cocktails, beers and light bites.,OPEN — on official MUC website,
Boconero,Terminal 1,,"Coffee, Bakery",,,,,,,,,Specialty artisan coffee paired with freshly baked bread and pastries.,OPEN — on official MUC website,
Boconero Express,Terminal 1,,"Coffee, Café",,,,,,,,yes,Express coffee kiosk from Boconero with specialty coffees to go.,OPEN — on official MUC website,
Breznsalzer,Terminal 1,,"Bakery, Snacks",,,,,,,,yes,Fresh Bavarian pretzels with artisan salt and dipping accompaniments.,OPEN — on official MUC website,
Bruschetteria,Terminal 1,,"Café, Italian",,,,,,,,yes,Italian-style bruschetteria with fresh toppings on toasted bread and coffee.,OPEN — on official MUC website,
Caffè Vergnano,Terminal 1,,"Coffee, Café",,,,,,,,,Premium Italian coffee house with passion for espresso since 1882.,OPEN — on official MUC website,
Café-Konditorei Aida,Terminal 2,,"Café, Bakery",,,,,,,,,Viennese-style café and patisserie with tradition since 1913 — pastries, cakes and coffee.,OPEN — on official MUC website,
Ciao Amici,Terminal 2,,"Restaurant, Italian",,,,,,,,,Italian restaurant with classic pasta, pizza and antipasti dishes.,OPEN — on official MUC website,
Cloud 7,Terminal 2,,"Bar, Restaurant",,,,,,,,,Restaurant and bar with a fascinating view of the taxiways and runways.,OPEN — on official MUC website,
Coca-Cola Bar & Biergarten,Terminal 1,,"Bar, Bavarian",,,,,,,,,Refreshing Coca-Cola bar with beer garden seating and cold drinks guaranteed.,OPEN — on official MUC website,
Coffee Fellows,Terminal 1,,"Coffee, Café",,,,,,,,,Specialty coffee house with a home-away-from-home feel, serving quality espresso and pastries.,OPEN — on official MUC website,
Cucina Popolare,Terminal 1,,"Restaurant, Italian",,,,,,,,,Italian soul food restaurant with hearty pasta, pizza and regional Italian dishes.,OPEN — on official MUC website,
Dallmayr Bistro,Terminal 2,,"Café, Gourmet",,,,,,,,,Munich's legendary gourmet food specialist Dallmayr with premium coffees and delicatessen dishes.,OPEN — on official MUC website,
dean&david,Terminal 1,,"Restaurant, Healthy",,,,,,,,yes,Healthy fast-casual restaurant with fresh bowls, wraps, soups and salads.,OPEN — on official MUC website,
Erdinger Bar & Biergarten,Terminal 1,,"Bar, Bavarian",,,,,,,,,Classic Bavarian beer garden serving Erdinger wheat beer and traditional snacks.,OPEN — on official MUC website,
Foodji,Terminal 2,,"Grab & Go, Fast Food",,,,,,,,yes,Automated food kiosk with freshly prepared meals and snacks available 24/7.,OPEN — on official MUC website,
Fürstenlounge,Terminal 2,,Lounge,,,,,,,,,Premium airport lounge with fine dining, drinks and relaxation facilities.,OPEN — on official MUC website,
Hans im Glück,Terminal 2,,"Restaurant, Burgers",,,,,,,,,Artisan burger restaurant with creative recipes and a distinctive birch tree forest interior.,OPEN — on official MUC website,
Hofbräu Bistro,Terminal 1,,"Bar, Bavarian",,,,,,,,,Munich's world-famous Hofbräuhaus brand with authentic Bavarian beers and food.,OPEN — on official MUC website,
Käfer,Terminal 1,,"Restaurant, Gourmet",,,,,,,,,Prestigious Munich caterer Käfer serving fine dining and premium Bavarian cuisine.,OPEN — on official MUC website,
Käfer - factory of enjoyment,Terminal 2,,"Restaurant, Gourmet",,,,,,,,,Käfer's immersive fine-dining concept celebrating Bavarian and international gourmet cuisine.,OPEN — on official MUC website,
Käfer Bistro,Terminal 2,,"Café, Gourmet",,,,,,,,yes,Casual bistro format from Munich's legendary gourmet brand Käfer with quality bites.,OPEN — on official MUC website,
Lenbachs Bar & Gallery,Terminal 2,,"Bar, Restaurant",,,,,,,,,Sophisticated bar and gallery restaurant with contemporary cuisine and art installations.,OPEN — on official MUC website,
Magnum Gate,Terminal 1,,"Café, Dessert",,,,,,,,,Luxury Magnum ice cream bar with customisable chocolate-dipped creations.,OPEN — on official MUC website,
McDonald's,Terminal 1,,Fast Food,,,,,,,,,Classic burgers, fries and breakfast items served all day.,OPEN — on official MUC website,
Mionetto Bar,Terminal 1,,"Bar, Wine Bar",,,,,,,,,Italian prosecco bar featuring Mionetto sparkling wines and aperitivo snacks.,OPEN — on official MUC website,
Mountain Hub Gourmet,Terminal 1,,"Restaurant, Bavarian",,,,,,,,,Upscale gourmet restaurant with elevated Alpine-inspired cuisine and mountain views.,OPEN — on official MUC website,
Mountain Hub Social Dining,Terminal 1,,"Restaurant, Bavarian",,,,,,,,,Relaxed social dining venue with Bavarian and Alpine-inspired dishes.,OPEN — on official MUC website,
Münchner Leibspeise,Terminal 1,,"Restaurant, Bavarian",,,,,,,,,Traditional Bavarian comfort food with classic Munich dishes and regional beers.,OPEN — on official MUC website,
Nightflight Bar,Terminal 1,,Bar,,,,,,,,,Late-night bar serving cocktails and drinks for travellers awaiting late departures.,OPEN — on official MUC website,
Paulaner Bar & Biergarten,Terminal 1,,"Bar, Bavarian",,,,,,,,,Authentic Paulaner beer garden with freshly tapped Paulaner Weiss and Bavarian snacks.,OPEN — on official MUC website,
Paulaner Bierhaus,Terminal 2,,"Bar, Bavarian",,,,,,,,,Traditional Paulaner beerhouse with premium Bavarian beers and hearty German food.,OPEN — on official MUC website,
Seafood meets Asia,Terminal 2,,"Restaurant, Seafood, Asian",,,,,,,,,Fusion restaurant combining fresh seafood with Asian-inspired flavours and techniques.,OPEN — on official MUC website,
Segafredo,Terminal 1,,"Coffee, Café",,,,,,,,,Italian Segafredo espresso with pastries and coffee culture in the terminal.,OPEN — on official MUC website,
Selmans Restaurant & Bar,Terminal 2,,"Restaurant, Bar",,,,,,,,,Contemporary restaurant and bar with international cuisine and a relaxed atmosphere.,OPEN — on official MUC website,
Sissi & Franz,Terminal 2,,"Restaurant, Bavarian",,,,,,,,,Bavarian restaurant celebrating the legendary romance of Sissi and Franz Josef with classic dishes.,OPEN — on official MUC website,
Sissi & Franz Bar,Terminal 2,,"Bar, Bavarian",,,,,,,,,Charming Bavarian-themed bar with traditional beers, cocktails and light bites.,OPEN — on official MUC website,
Smokey Joe's,Terminal 1,,"Restaurant, American",,,,,,,,,American smokehouse with BBQ ribs, pulled pork and classic American comfort food.,OPEN — on official MUC website,
Sportalm,Terminal 2,,"Restaurant, Bavarian",,,,,,,,,Alpine restaurant from the renowned Austrian ski fashion brand with hearty mountain cuisine.,OPEN — on official MUC website,
Starbucks,Terminal 2,,"Coffee, Café",,,,,,,,,Customised espresso drinks, teas, sandwiches and snacks.,OPEN — on official MUC website,
Subralott,Terminal 1,,"Bar",,,,,,,,,Vibrant bar with a lively atmosphere, drinks and light snacks.,OPEN — on official MUC website,
Subway,Terminal 2,,"Fast Food, Sandwiches",,,,,,,,yes,Fresh-made submarine sandwiches, salads and soups to order.,OPEN — on official MUC website,
Surf and Turf,Terminal 1,,"Restaurant, Steakhouse",,,,,,,,,Premium steakhouse with surf-and-turf combinations of quality beef and fresh seafood.,OPEN — on official MUC website,
Tante Ju's Speisenwerkstatt,Terminal 1,,"Restaurant, Bavarian",,,,,,,,,Homely Bavarian restaurant — Aunt Ju's kitchen — with traditional comfort dishes.,OPEN — on official MUC website,
The Flave of Munich,Terminal 1,,"Restaurant",,,,,,,,,Modern restaurant capturing the flavours of Munich's diverse culinary scene.,OPEN — on official MUC website,
the ODEON by Käfer,Terminal 1,,"Restaurant, Gourmet",,,,,,,,,Fine dining experience from Munich's legendary Käfer brand in an elegant setting.,OPEN — on official MUC website,
