name,terminal,airside,gate,address,phone,website,cuisine,categories,description,opening_hours,wheelchair,takeaway,halal,vegetarian_options,vegan_options,verified_status,osm_id,logo_url
Jack in the Box,Terminal A,Airside,Gate A7,Gate A7,,,Fast Food,,"Jack in the Box is an American fast food chain known for its diverse 24-hour menu including tacos, burgers, and breakfast items, anchored by its quirky mascot.",Mo-Su 04:30-20:30,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/jackinthebox.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Blaze Pizza,Terminal A,Airside,Gate A7,Gate A7,,,Pizza,,"Blaze Pizza is an American fast-casual chain where guests build their own artisanal pizzas from a wide selection of fresh toppings, baked in a high-heat open-flame oven.",Mo-Fr 08:00-20:30; Sa 08:00-19:30; Su 08:00-20:30,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/blazepizza.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Hubcap Grill & Beer Yard,Terminal A,Airside,Gate A7,Gate A7,,,Burgers,,"A Houston-based smash burger institution serving thin, crispy-edged burgers with an impressive craft beer selection.",Mo-Su 05:00-20:00,,,,,,OPEN — on official Houston IAH website,,
Panda Express,Terminal A,Airside,Gate A17,Gate A17,,,"American, Chinese, Asian",,"Panda Express is America's largest Chinese fast food chain, known for its Orange Chicken, Kung Pao Beef, and customisable plate combos with fried rice and noodles.",Mo-Su 06:00-22:00,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/pandaexpress.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
The Breakfast Klub,Terminal A,Airside,Gate A17,Gate A17,,,American,,"A Houston soul food institution bringing their beloved chicken and waffles, catfish and grits, and classic Southern breakfast to the airport.",Mo-Fr 04:30-20:30; Sa 04:30-19:30; Su 04:30-20:30,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/thebreakfastklub.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
The Great American Bagel,Terminal A,Airside,Gate A17,Gate A17,,,Sandwiches & Deli,,"A New York-style bagel shop serving hand-rolled bagels with lox, cream cheese, and deli toppings.",Mo-Su 04:00-21:00,,,,,,OPEN — on official Houston IAH website,,
City Crepes,Terminal A,Airside,Gate A25,Gate A25,,,"Bakery, French, European",,A creperie serving sweet and savory French-style crepes with a variety of fillings and toppings.,,,,,,,OPEN — on official Houston IAH website,,
Jamba Juice,Terminal A,Airside,Gate A8,Gate A8,,,"Healthy, Desserts",,"Jamba is an American smoothie and juice chain offering a wide range of blended fruit and vegetable smoothies, freshly squeezed juices, and health-boosting bowls.",Mo-Su 05:00-20:00,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/jamba.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Chick-fil-A,Terminal A,Airside,Security Checkpoint,Security Checkpoint,,,"Fast Food, Steak, Grill Chicken & BBQ",,"Chick-fil-A is an American fast food chain specialising in chicken sandwiches, nuggets, and waffle fries, known for its exceptional customer service and Sunday closures.",,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/chick-fil-a.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Chili's,Terminal A,Airside,,,,,American,,"Chili's Grill & Bar is an American casual dining chain known for its Tex-Mex-inspired dishes, baby back ribs, sizzling fajitas, and signature margaritas.",,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/chilis.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Starbucks,Terminal A,Airside,,,,,Café,,"Starbucks is the world's largest coffeehouse chain, offering handcrafted espresso beverages, Frappuccinos, teas, and seasonal drinks alongside food items and merchandise.",,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/starbucks.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Bullritos,Terminal B,Airside,Gate B1,Gate B1,,,"American, Mexican, Latin American",,"A Tex-Mex fast-casual restaurant serving large burritos, tacos, and nachos with Texas-inspired ingredients.",Mo-Su 06:00-20:00,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/bullritos.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
