name,terminal,airside,categories,lat,lon,phone,website,opening_hours,floor_level,wheelchair,takeaway,description,verified_status,osm_id,cuisine,logo_url
Urban Corner,Terminal 1,Airside,"Restaurant, Bar",,,,,24 HRS,Upper,,,"A casual café serving coffee, sandwiches, light meals, and snacks aimed at business travellers.",OPEN — on official MEX website,,Café,https://img.logo.dev/urban-corner.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
CIRCULO K,Terminal 1,Airside,"Market, Grab & Go",,,,,24 HRS,Upper,,,"CIRCULO K is a convenience store concept (a variant of Circle K) offering snacks, drinks, prepared foods, and everyday essentials in travel locations.",OPEN — on official MEX website,,Grab & Go,
CIRCULO K,Terminal 1,Landside,"Market, Grab & Go",,,,,24 HRS,Lower,,,"CIRCULO K is a convenience store concept (a variant of Circle K) offering snacks, drinks, prepared foods, and everyday essentials in travel locations.",OPEN — on official MEX website,,Grab & Go,
DINO Snack Bar & Fast Food,Terminal 1,Airside,"Bar, Café, Fast Food",,,,,24 HRS,Upper,,,"A fast-food snack bar serving burgers, hot dogs, quesadillas, and light snacks for quick meals.",OPEN — on official MEX website,,Fast Food,
The Urban Deli & Café,Terminal 1,Airside,Fast Food,,,,,24 HRS,Upper,,,"A modern deli café serving gourmet sandwiches, salads, artisan coffee, and freshly prepared grab-and-go items.", fresh food and coffee.,OPEN — on official MEX website,"Sandwiches & Deli, Café",
OXXO,Terminal 1,Airside,"Market, Grab & Go",,,,,24 HRS,Upper,,,"OXXO is a Mexican convenience store chain operated by FEMSA, offering snacks, drinks, prepared foods, and everyday items across Latin America.", drinks and packaged essentials.,OPEN — on official MEX website,"Grab & Go, Latin American, Mexican",https://img.logo.dev/oxxo.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
OXXO,Terminal 1,Landside,"Market, Grab & Go",,,,,24 HRS,Lower,,,"OXXO is a Mexican convenience store chain operated by FEMSA, offering snacks, drinks, prepared foods, and everyday items across Latin America.", drinks and packaged essentials.,OPEN — on official MEX website,"Grab & Go, Latin American, Mexican",https://img.logo.dev/oxxo.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Starbucks,Terminal 1,Airside,"Coffee, Café",,,,,24 HRS,Upper,,,"Starbucks is the world's largest coffeehouse chain, offering handcrafted espresso beverages, Frappuccinos, teas, and seasonal drinks alongside food items and merchandise.", teas, sandwiches and snacks.,Café,https://img.logo.dev/starbucks.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Starbucks,Terminal 1,Landside,"Coffee, Café",,,,,24 HRS,Lower,,,"Starbucks is the world's largest coffeehouse chain, offering handcrafted espresso beverages, Frappuccinos, teas, and seasonal drinks alongside food items and merchandise.", teas, sandwiches and snacks.,Café,https://img.logo.dev/starbucks.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Casa Ávila,Terminal 1,Airside,"Restaurant, Bar",,,,,07:00–23:00,Upper,,,"Casa Ávila is a Mexican restaurant concept serving traditional Mexican dishes including tacos, enchiladas, and classic Mexican comfort food.",OPEN — on official MEX website,,"Mexican, Latin American",
7 Eleven,Terminal 1,Airside,"Market, Grab & Go",,,,,24 HRS,Upper,,,"A convenience store with ready-to-eat snacks, sandwiches, hot dogs, and beverages for travellers on the go.", drinks and travel essentials.,OPEN — on official MEX website,Grab & Go,
