name,terminal,airside,categories,lat,lon,phone,website,opening_hours,floor_level,wheelchair,takeaway,description,verified_status,osm_id,cuisine,logo_url
Amsterdam Bread Co.,Main Terminal,Airside,"Bakery, Café",,,,,,Lounge 2,,,"A bakery and cafe serving fresh-baked breads, sandwiches, pastries, and coffee for travelers on the go.", croissants, coffee and yoghurt — a modern bakery café in Lounge 2.,"Bakery, Café",
Birra Moretti Bar,Main Terminal,Airside,"Bar, Pizza",,,,,,Lounge 4,,,An Italian beer bar serving Birra Moretti on tap alongside bar snacks and light bites., rolls and soft drinks.,OPEN — on official AMS website,"Italian, Bar",
Bread!,Main Terminal,Airside,"Bakery, Café",,,,,,Lounge 3,,,"A quick-service bakery stall offering freshly made sandwiches, rolls, and breads for travelers.", croissants, coffee and yoghurt for travellers on the go.,Bakery,https://img.logo.dev/breadfast.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Bubbles Seafood & Winebar,Main Terminal,Airside,"Restaurant, Wine Bar, Seafood",,,,,,Lounge 2,,,"A seafood and wine bar known for oysters, smoked salmon, and a curated selection of wines and champagnes.", oysters, caviar and barista coffee.,Seafood,
Burger King,Main Terminal,,Fast Food,,,,,,Multiple locations,,,Burger King is a global American fast food chain best known for the flame-grilled Whopper burger and its 'Have It Your Way' customisation philosophy., fries and drinks at multiple Schiphol locations.,OPEN — on official AMS website,Fast Food,https://img.logo.dev/bk.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Café Comunal,Main Terminal,Airside,"Café, Bar",,,,,,C-pier,,,"A casual cafe offering coffee, snacks, and light meals in a relaxed communal setting.", pizza, beer,Café,
Café Flor,Main Terminal,Airside,"Café, Restaurant",,,,,,D Pier,,,"Café Flor is a casual café concept offering coffee, light meals, and pastries in a Parisian café style, found in airports and urban settings.", poke bowls, barista coffee,"Café, French, European",
Café Rembrandt,Main Terminal,Landside,"Bar, Restaurant",,,,,,Plaza,,,"A Dutch-style cafe bar serving local beers, wines, and snacks with a classic Amsterdam ambiance.", burgers and Dutch snacks.,OPEN — on official AMS website,"Café, European",https://img.logo.dev/caferembrandt.nl?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Carluccio's,Main Terminal,Airside,"Restaurant, Italian",,,,,,Lounge 3,,,"Carluccio's is a British-Italian restaurant chain founded by renowned Italian chef Antonio Carluccio, serving rustic Italian dishes, antipasti, pasta, and seasonal specials.", pasta, all-day breakfast and sandwiches.,Italian,https://img.logo.dev/carluccios.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Crossroads,Main Terminal,Landside,"Restaurant, Café",,,,,,Plaza,,,"An international bar and restaurant serving a broad menu of snacks, sandwiches, and drinks.", lunch plates, sandwiches and salads.,"Bar, International",
Dammer's Tap,Main Terminal,Airside,Bar,,,,,,B-pier,,,A Dutch-style tap room offering local and craft beers on draft alongside simple bar food., snacks and burgers.,OPEN — on official AMS website,"Bar, European",
Douwe Egberts Coffee Bar,Main Terminal,Landside,"Coffee, Café",,,,,,Departures 3,,,"A specialty coffee bar from the iconic Dutch brand Douwe Egberts, serving espresso drinks, filter coffee, and light snacks.",OPEN — on official AMS website,,Café,
Dutch Kitchen Bar & Cocktails,Main Terminal,Airside,"Restaurant, Bar",,,,,,Multiple locations,,,"A Dutch kitchen and cocktail bar offering traditional Dutch dishes, bitterballen, and a full cocktail menu.", sandwiches, croquettes and cocktails at multiple airside locations.,European,
East Bar & Bites,Main Terminal,Airside,"Bar, Café",,,,,,Lounge 3,,,A bar and snack counter serving light Asian-inspired bites and drinks near the eastern gates., beer and barista coffee.,OPEN — on official AMS website,"Bar, Asian",
Eataly,Main Terminal,Airside,"Restaurant, Italian",,,,,,Lounge 1,,,"Eataly is an Italian marketplace and restaurant complex offering an immersive retail and dining experience celebrating Italian food, wine, and culture under one roof.", coffee, sandwiches and confectionery from Italy's renowned Eataly brand.,"Italian, Grab & Go",https://img.logo.dev/eataly.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
