name,terminal,airside,categories,lat,lon,phone,website,opening_hours,floor_level,wheelchair,takeaway,description,verified_status,osm_id,cuisine,logo_url
Bistrot Benoit,Terminal 1,Airside,"Bar, Restaurant",,,,,,,,,"An outpost of the classic Paris bistrot by chef Alain Ducasse, serving traditional French brasserie dishes including steak frites, onion soup, and crème brûlée.",OPEN — on official CDG website,,"French, European",
Brioche Dorée,Terminal 1,Landside,Fast Food,,,,,,,,,"Brioche Dorée is a French bakery café chain found widely in airports and shopping centres, serving freshly baked croissants, sandwiches, and coffee.",OPEN — on official CDG website,,"Bakery, Café, French, European",https://img.logo.dev/briochedoree.fr?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Exki,Terminal 1,Airside,"Restaurant, Fast Food",,,,,,,,,"Exki is a Belgian healthy fast food chain offering natural, fresh, and organic meals, salads, soups, and snacks, with a strong presence in airports and urban locations.",OPEN — on official CDG website,,"Healthy, Fast Food",https://img.logo.dev/exki.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Kirei,Terminal 1,Airside,Restaurant,,,,,,,,,"A Japanese-inspired fast-casual restaurant serving sushi, bento boxes, noodles, and Japanese-influenced dishes.",OPEN — on official CDG website,,"Japanese, Asian",
McDonald's,Terminal 1,Landside,Fast Food,,,,,,,,,"McDonald's is the world's largest fast food chain, serving billions of customers daily with iconic menu items including the Big Mac, McChicken, and golden french fries.",OPEN — on official CDG website,,Fast Food,https://img.logo.dev/mcdonalds.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Paul,Terminal 1,Airside,"Bakery, Coffee",,,,,,,,,"PAUL is a French artisan bakery and café with heritage dating to 1889, offering traditional baguettes, viennoiseries, sandwiches, and pâtisseries in a classic boulangerie setting.",OPEN — on official CDG website,,"Bakery, Café, French, European",https://img.logo.dev/paul.fr?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Starbucks,Terminal 1,Airside,Coffee,,,,,,,,,"Starbucks is the world's largest coffeehouse chain, offering handcrafted espresso beverages, Frappuccinos, teas, and seasonal drinks alongside food items and merchandise.",OPEN — on official CDG website,,Café,https://img.logo.dev/starbucks.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Sushi Shop,Terminal 1,Airside,"Restaurant, Fast Food",,,,,,,,,"Sushi Shop is a French sushi delivery and takeaway chain offering a broad menu of traditional and creative sushi rolls, poke bowls, and Japanese-inspired dishes.",OPEN — on official CDG website,,"Japanese, Asian",https://img.logo.dev/sushishop.fr?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Brioche Dorée,Terminal 3,Landside,Fast Food,,,,,,,,,"Brioche Dorée is a French bakery café chain found widely in airports and shopping centres, serving freshly baked croissants, sandwiches, and coffee.",OPEN — on official CDG website,,"Bakery, Café, French, European",https://img.logo.dev/briochedoree.fr?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Paul,Terminal 3,Landside,"Bakery, Coffee",,,,,,,,,"PAUL is a French artisan bakery and café with heritage dating to 1889, offering traditional baguettes, viennoiseries, sandwiches, and pâtisseries in a classic boulangerie setting.",OPEN — on official CDG website,,"Bakery, Café, French, European",https://img.logo.dev/paul.fr?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
