name,terminal,airside,categories,lat,lon,phone,website,opening_hours,floor_level,wheelchair,takeaway,description,verified_status,osm_id,cuisine,logo_url
A&W,Multiple Locations,,Fast Food,,,,,,,,,"A&W is an American fast food chain established in 1919, famous for its root beer served in frosty mugs, root beer floats, and classic American burgers and hot dogs.", chicken and fries with classic root beer floats in frosted mugs.,OPEN — on official YVR website,Fast Food,https://img.logo.dev/aweber.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Banh Shop,US Terminal,Airside,"Restaurant, Vietnamese",,,,,,,,,"Banh Shop is a fast-casual Vietnamese restaurant concept serving bánh mì sandwiches, pho, and Vietnamese street food in airport and urban settings.", bao and noodle bowls made with fresh ingredients.,OPEN — on official YVR website,"Vietnamese, Asian, Pan-Asian",https://img.logo.dev/banhshop.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Bubble Waffle Cafe,International Terminal,Landside,"Café, Asian",,,,,,,,,A Hong Kong-style café serving egg waffles (bubble waffles) in sweet and savoury versions alongside teas and smoothies.,OPEN — on official YVR website,,"Chinese, Asian, Café",https://img.logo.dev/bubblewafflecafe.ca?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Church's Texas Chicken,International Terminal,Airside,Fast Food,,,,,,,,,"Church's Texas Chicken is an American fast food chain serving Southern-style fried chicken, honey-butter biscuits, and classic sides since 1952.", sides and dipping sauces.,OPEN — on official YVR website,"Fast Food, Steak, Grill Chicken & BBQ",https://img.logo.dev/churchstexaschicken.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Dirty Apron,Multiple Locations,,Restaurant,,,,,,,,,"A Vancouver cooking school and deli serving freshly made sandwiches, salads, and prepared foods using quality local ingredients.",OPEN — on official YVR website,,Sandwiches & Deli,https://img.logo.dev/dirtyapron.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Freshii,International Terminal,Landside,"Restaurant, Healthy",,,,,,,,yes,"Freshii is a Canadian healthy fast food franchise offering burritos, bowls, salads, juices, and smoothies made with fresh, nutritious ingredients.", bowls, salads and pressed juices. Vegetarian,"Healthy, Fast Food",https://img.logo.dev/freshii.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Galiano Cafe,South Terminal,Landside,Café,,,,,,,,,"A café named after BC's Gulf Islands, serving coffee, light meals, and fresh pastries in a relaxed West Coast setting.",OPEN — on official YVR website,,"Café, Canadian",
Globe@YVR,US Terminal,Landside,"Restaurant, Bar",,,,,,,,,"A global café and casual dining spot serving internationally inspired dishes, breakfasts, and cocktails at the Vancouver airport.",OPEN — on official YVR website,,International,https://img.logo.dev/globeyvr.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Hanami Express,International Terminal,Airside,"Restaurant, Japanese",,,,,,,,yes,"A Japanese restaurant serving sushi rolls, bento boxes, and Japanese fast-casual dishes including teriyaki and katsu sets.", Japanese hot foods and Asian snacks.,OPEN — on official YVR website,"Japanese, Asian",
Hangar 49,Domestic Terminal,Airside,Bar,,,,,,,,,"An aviation-themed pub and restaurant serving Canadian comfort food, burgers, and a broad craft beer selection.",OPEN — on official YVR website,,"Bar, Canadian",
Hula Poké,Domestic Terminal,Airside,"Restaurant, Hawaiian",,,,,,,,,A Hawaiian poke bar serving customisable ahi tuna and salmon bowls over rice or greens with fresh toppings., proteins and sauces.,OPEN — on official YVR website,"Healthy, Seafood",https://img.logo.dev/hulapoke.ca?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Icons Sports Bar & Grill,US Terminal,Airside,"Bar, Restaurant",,,,,,,,,"A sports bar with multiple screens serving burgers, wings, poutine, and cold Canadian beers during live games.", wings and live sports coverage on multiple screens.,OPEN — on official YVR website,Bar,
illy,Multiple Locations,,"Coffee, Vending Machine",,,,,,,,,"illy is a premium Italian coffee brand and café operator renowned for its signature single-blend espresso, sustainably sourced Arabica beans, and global café concepts.",OPEN — on official YVR website,,Café,https://img.logo.dev/illy.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Relay,International Terminal,Airside,"Coffee, Café, Market",,,,,,,,,"Relay is a global travel retail chain found in airports and transit hubs, offering a curated selection of press, books, snacks, beverages, and travel essentials.", snacks and magazines.,OPEN — on official YVR website,"Café, Grab & Go",https://img.logo.dev/relay.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Japadog,Domestic Terminal,Landside,Fast Food,,,,,,,,,"A Vancouver cult favourite pairing Japanese toppings — teriyaki sauce, oroshi daikon, nori — with North American hot dogs.",OPEN — on official YVR website,,"Japanese, Asian, Fast Food",https://img.logo.dev/japadog.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Jetside Lounge,US Terminal,Landside,Bar,,,,,,,,,"A lounge bar serving cocktails, wines, and light snacks in a relaxed pre-departure setting.", beer and light bites.,OPEN — on official YVR website,Bar,
Joe and the Juice,Multiple Locations,,"Café, Juice Bar",,,,,,,,yes,"Joe and the Juice is a Danish lifestyle café chain serving freshly made juices, shakes, and specialty coffees in a vibrant, music-forward atmosphere with a focus on health.", protein shakes and light sandwiches.,OPEN — on official YVR website,"Café, Healthy",https://img.logo.dev/joejuice.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Lee's Donuts,Domestic Terminal,Airside,"Bakery, Café",,,,,,,,,"A Vancouver institution from Granville Island Public Market, serving freshly fried raised and cake doughnuts in classic and seasonal flavours.",OPEN — on official YVR website,,"Desserts, Bakery",https://img.logo.dev/leesdonuts.ca?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Lift Bar and Grill,International Terminal,Airside,"Bar, Restaurant",,,,,,,,,"A casual bar and grill serving Canadian comfort food including burgers, fish and chips, and locally inspired dishes.",OPEN — on official YVR website,,"Bar, Canadian, Steak, Grill Chicken & BBQ",https://img.logo.dev/liftbarandgrill.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Pacific Coast News Café,Domestic Terminal,Airside,"Café, Market",,,,,,,,,"A café and news stand serving coffee, light snacks, and grab-and-go items alongside magazines and travel essentials.", snacks and travel essentials in the domestic departure gates.,OPEN — on official YVR website,Café,
Pacific Farms Market,Domestic Terminal,Airside,"Market, Grab & Go",,,,,,,,yes,"A market-style café showcasing BC-grown and produced foods, serving fresh salads, sandwiches, and local snacks.", sandwiches and healthy snacks.,OPEN — on official YVR website,"Grab & Go, Canadian",
Pajo's Fish & Chips,International Terminal,Landside,"Fast Food, Seafood",,,,,,,,,A Vancouver institution from Garry Point Park serving crispy beer-battered Pacific cod and chips with malt vinegar.,OPEN — on official YVR website,,Seafood,
Paper Planes Cafe,Domestic Terminal,Landside,Café,,,,,,,,,"A travel-themed café serving specialty coffee, fresh pastries, and light breakfast and lunch dishes.",OPEN — on official YVR website,,Café,
Paragon Tea Room,Domestic Terminal,Landside,Café,,,,,,,,,"A tea-focused café serving a curated selection of premium loose-leaf teas, chai, and tea-inspired beverages.",OPEN — on official YVR website,,Café,https://img.logo.dev/paragontearoom.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Purebread,International Terminal,Landside,"Bakery, Café",,,,,,,,,"A beloved BC artisan bakery from Whistler, serving exceptional pastries including scones, croissants, and signature baked goods.", pastries, cakes and freshly baked goods.,Bakery,https://img.logo.dev/purebreadbrands.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Romers Fresh Kitchen and Bar,US Terminal,Airside,"Restaurant, Bar",,,,,,,,,"A Vancouver restaurant serving fresh, locally sourced Pacific Northwest dishes and cocktails in a comfortable setting.",OPEN — on official YVR website,,American,
Root98,US Terminal,Airside,"Café, Healthy",,,,,,,,yes,"A health-focused market café serving organic snacks, fresh-pressed juices, and wholefood prepared items.", acai bowls and nutritious snacks. Gluten-free options.,OPEN — on official YVR website,Healthy,
Sal Y Limon,US Terminal,Airside,"Restaurant, Mexican",,,,,,,,,"A Mexican restaurant serving tacos, quesadillas, and street-food inspired Mexican dishes with fresh salsas and guacamole.", burritos, ceviche and signature margaritas.,"Mexican, Latin American",https://img.logo.dev/salylimon.ca?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Salmon n' Bannock On The Fly,International Terminal,Airside,"Restaurant, Indigenous",,,,,,,,yes,"An express version of Vancouver's celebrated Indigenous restaurant, serving wild salmon, bannock, and First Nations-inspired dishes.", bannock and traditional flavours.,OPEN — on official YVR website,Canadian,
Starbucks,Multiple Locations,,"Coffee, Café",,,,,,,,,"Starbucks is the world's largest coffeehouse chain, offering handcrafted espresso beverages, Frappuccinos, teas, and seasonal drinks alongside food items and merchandise.", teas, sandwiches and snacks.,Café,https://img.logo.dev/starbucks.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Subway,Multiple Locations,,"Fast Food, Sandwiches",,,,,,,,yes,"Subway is the world's largest submarine sandwich chain, offering customisable subs, wraps, and salads made to order on freshly baked bread with a wide choice of toppings.", salads and soups to order.,OPEN — on official YVR website,Sandwiches & Deli,https://img.logo.dev/subway.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Sweet Maple Lounge,International Terminal,Airside,Bar,,,,,,,,,"A Canadian-themed lounge and café serving maple-infused cocktails, Canadian whiskies, and classic Canadian snacks.", spirits and light bites.,OPEN — on official YVR website,"Bar, Canadian",
Tim Hortons,Multiple Locations,,"Coffee, Bakery",,,,,,,,,"Tim Hortons is Canada's most iconic coffee and baked goods chain, beloved for its double-double coffee, Timbits donut holes, and classic breakfast sandwiches.", specialty drinks, donuts and Timbits.,Café,https://img.logo.dev/timhortons.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
