name,terminal,airside,categories,lat,lon,phone,website,opening_hours,floor_level,wheelchair,takeaway,description,verified_status,osm_id,cuisine,logo_url
5 Boroughs Food Emporium,Terminal B,Airside,"Market, Grab & Go",,,,,,,,,A New York food emporium celebrating all five boroughs with diverse NYC-inspired dishes and food vendors., treats, sandwiches and drinks from local New York purveyors.,Grab & Go,
Artichoke Pizza,Terminal C,Airside,"Fast Food, Pizza",,,,,,,,,"A New York slice cult classic serving thick, creamy artichoke-and-spinach pizza and Sicilian-style slices.",OPEN — on official LGA website,,Pizza,https://img.logo.dev/artichokepizza.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Auntie Anne's,Terminal C,Airside,"Bakery, Snacks",,,,,,,,,"Auntie Anne's is an American pretzel bakery chain famous for its hand-rolled, freshly baked soft pretzels served plain or in sweet and savoury varieties.",OPEN — on official LGA website,,Bakery,https://img.logo.dev/auntieannes.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Bar 212,Terminal B,Airside,"Bar, Restaurant",,,,,,,,,"A New York-themed bar serving cocktails, beers, and light snacks in a stylish setting.",OPEN — on official LGA website,,Bar,
Bar Veloce,Terminal B,Airside,"Bar, Wine Bar",,,,,,,,,"A New York wine bar serving Italian wines, aperol spritzes, and light Italian small plates.",OPEN — on official LGA website,,"Bar, Italian",
Beecher's Handmade Cheese / Sweetleaf Coffee Roasters,Terminal B,Airside,"Market, Coffee",,,,,,,,,"A combined artisan cheese shop and specialty coffee bar, offering cheese plates and charcuterie from Beecher's and precision-brewed coffees from Sweetleaf.",OPEN — on official LGA website,,Café,
Birch Coffee / H&H Bagels / Rossi Pizzeria,Terminal C,Airside,"Coffee, Bakery, Pizza",,,,,,,,,"A combined food concept featuring Birch Coffee specialty espresso, H&H New York bagels, and Rossi New York-style pizza by the slice.", classic New York H&H bagels, and Rossi pizza.,"Café, American",
Brklyn's Best Bagels / Kombu,Terminal C,Airside,"Bakery, Restaurant",,,,,,,,,A combined counter serving Brooklyn-style bagels and Kombu Asian-inspired bowls and snacks.,OPEN — on official LGA website,,"Sandwiches & Deli, Asian",
Brooklyn Diner,Terminal B,Airside,"Restaurant, American",,,,,,,,,"A classic Brooklyn-style American diner serving burgers, sandwiches, pancakes, and New York diner comfort food.",OPEN — on official LGA website,,American,https://img.logo.dev/brooklyndiner.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Bubby's,Terminal C,Airside,"Restaurant, American",,,,,,,,,"A New York Tribeca neighborhood restaurant known for classic American comfort food, homemade pies, brunch dishes, and housemade baked goods.", fluffy pancakes, homemade pies and biscuits.,American,https://img.logo.dev/bubbys.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
BuzzFeed,Terminal C,Airside,"Newsstand, Market",,,,,,,,,"A pop-up food and café experience associated with the BuzzFeed media brand, offering branded food and beverage items.", magazines and other media.,OPEN — on official LGA website,International,https://img.logo.dev/buzzfeed.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
BuzzFeed,Terminal C,Airside,"Newsstand, Market",,,,,,,,,"A pop-up food and café experience associated with the BuzzFeed media brand, offering branded food and beverage items.", drinks, grab-and-go items and media.,International,https://img.logo.dev/buzzfeed.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Calista Taverna,Terminal C,Airside,"Restaurant, Greek",,,,,,,,,"A Greek-inspired restaurant and bar serving mezze, grilled meats, spanakopita, and classic Greek dishes alongside Greek wines.",OPEN — on official LGA website,,"Mediterranean, European",https://img.logo.dev/calistataverna.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Capital One Landing,Terminal B,Airside,Lounge,,,,,,,,,"A premium members lounge from Capital One, offering complimentary food, beverages, and lounge amenities for eligible cardholders.",OPEN — on official LGA website,,Bar,
Chopt,Terminal C,Airside,"Restaurant, Salads",,,,,,,,,A New York fast-casual salad chain serving customizable chopped salads with quality fresh produce and creative dressings.,OPEN — on official LGA website,,Healthy,https://img.logo.dev/choptsalad.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
CIBO Express Foodhall,Terminal C,Airside,"Market, Grab & Go",,,,,,,,,"A food hall and market concept offering grab-and-go sandwiches, salads, and specialty coffee drinks.", grab-and-go meals and beverages.,OPEN — on official LGA website,Grab & Go,
CIBO Express Gourmet Markets,Terminal C,Airside,"Market, Grab & Go",,,,,,,,,"CIBO Express Gourmet Markets is a North American airport gourmet market concept offering fresh grab-and-go meals, artisan snacks, wines, and specialty beverages for travellers.", grab-and-go meals and travel essentials.,OPEN — on official LGA website,"Café, Grab & Go",https://img.logo.dev/ciboexpress.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
CIBO Express Gourmet Markets,Terminal C,Airside,"Market, Grab & Go",,,,,,,,,"CIBO Express Gourmet Markets is a North American airport gourmet market concept offering fresh grab-and-go meals, artisan snacks, wines, and specialty beverages for travellers.", grab-and-go meals and travel essentials.,OPEN — on official LGA website,"Café, Grab & Go",https://img.logo.dev/ciboexpress.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
CIBO Express Gourmet Markets,Terminal C,Landside,"Market, Grab & Go",,,,,,,,,"CIBO Express Gourmet Markets is a North American airport gourmet market concept offering fresh grab-and-go meals, artisan snacks, wines, and specialty beverages for travellers.", grab-and-go meals and travel essentials near baggage claim.,OPEN — on official LGA website,"Café, Grab & Go",https://img.logo.dev/ciboexpress.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
CIBO Express Gourmet Markets,Terminal C,Airside,"Market, Grab & Go",,,,,,,,,"CIBO Express Gourmet Markets is a North American airport gourmet market concept offering fresh grab-and-go meals, artisan snacks, wines, and specialty beverages for travellers.", grab-and-go meals and travel essentials.,OPEN — on official LGA website,"Café, Grab & Go",https://img.logo.dev/ciboexpress.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
CIBO Express Gourmet Markets,Terminal C,Airside,"Market, Grab & Go",,,,,,,,,"CIBO Express Gourmet Markets is a North American airport gourmet market concept offering fresh grab-and-go meals, artisan snacks, wines, and specialty beverages for travellers.", grab-and-go meals and travel essentials.,OPEN — on official LGA website,"Café, Grab & Go",https://img.logo.dev/ciboexpress.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Cotto Trattoria & Market Place,Terminal C,Airside,"Restaurant, Italian",,,,,,,,,"An Italian trattoria and market serving fresh pasta, antipasti, and Italian sandwiches alongside a grocery selection.", antipasti and fresh Italian specialities.,OPEN — on official LGA website,Italian,
District Market,Terminal B,Airside,"Market, Grab & Go",,,,,,,,,"A market concept offering grab-and-go meals, snacks, and beverages for travelers.", snacks and beverages for travellers.,OPEN — on official LGA website,Grab & Go,
Dos Toros,Terminal C,Airside,"Fast Food, Mexican",,,,,,,,,"A New York-based Mexican taqueria serving California-style burritos, tacos, and quesadillas.",OPEN — on official LGA website,,"Mexican, Latin American",https://img.logo.dev/dostoros.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Dos Toros Taqueria,Terminal B,Airside,"Fast Food, Mexican",,,,,,,,,"Dos Toros Taqueria is a New York-based fast-casual taqueria serving California Mission-style burritos, tacos, and bowls with fresh, quality ingredients.",OPEN — on official LGA website,,"Mexican, Latin American",https://img.logo.dev/dostoros.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Dunkin',Terminal B,Landside,"Coffee, Bakery",,,,,,1,,,"Dunkin' is one of the world's largest coffee and baked goods chains, serving freshly brewed coffee, espresso drinks, and a wide variety of donuts and sandwiches.", coffee and breakfast items at the arrivals level.,OPEN — on official LGA website,"Café, Bakery",https://img.logo.dev/dunkindonuts.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Dunkin',Terminal B,Airside,"Coffee, Bakery",,,,,,,,,"Dunkin' is one of the world's largest coffee and baked goods chains, serving freshly brewed coffee, espresso drinks, and a wide variety of donuts and sandwiches.", coffee and breakfast items in the terminal food hall.,OPEN — on official LGA website,"Café, Bakery",https://img.logo.dev/dunkindonuts.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Eggy Weggy / Essex Burger,Terminal C,Airside,"Restaurant, Fast Food",,,,,,,,,A combined concept offering egg-based breakfast and brunch items alongside gourmet Essex-style burgers.,OPEN — on official LGA website,,Burgers,
Fiorello Market,Terminal C,Airside,"Market, Grab & Go",,,,,,,,,"A New York Italian market and cafe serving Italian-inspired sandwiches, salads, and espresso drinks.", pastries and snacks.,OPEN — on official LGA website,"Grab & Go, Italian",
Flatiron Tavern & Provisions,Terminal C,Airside,"Bar, Restaurant",,,,,,,,,"A Flatiron-district-inspired bar and provisions shop serving New York comfort food, craft beers, and cocktails.",OPEN — on official LGA website,,"Bar, American",
Freshii,Terminal C,Airside,"Restaurant, Healthy",,,,,,,,,"Freshii is a Canadian healthy fast food franchise offering burritos, bowls, salads, juices, and smoothies made with fresh, nutritious ingredients.", bowls, salads and freshly pressed juices.,"Healthy, Fast Food",https://img.logo.dev/freshii.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Gotham News,Terminal B,Airside,"Newsstand, Market",,,,,,,,,"A news stand and convenience snack shop offering quick packaged snacks, beverages, and travel items.", snacks, beverages and travel essentials.,Grab & Go,
Green Leaf's,Terminal B,Airside,"Restaurant, Salads",,,,,,,,,"A salad and healthy food counter serving fresh salads, grain bowls, and light nutritious meals.",OPEN — on official LGA website,,Healthy,
Hill Country Barbecue Market,Terminal B,Airside,"Restaurant, BBQ",,,,,,,,,"A Texas Hill Country-inspired BBQ market serving slow-smoked brisket, pulled pork, ribs, and classic Texas-style sides.", ribs and classic sides.,OPEN — on official LGA website,"American, Steak, Grill Chicken & BBQ",https://img.logo.dev/hillcountry.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Hudson,Terminal B,Airside,"Market, Newsstand",,,,,,,,,"Hudson is a leading North American travel retailer found in airports and transit hubs, offering grab-and-go food, beverages, books, and travel essentials to travellers.", magazines, snacks and essentials.,"Café, Grab & Go",https://img.logo.dev/hudsongroup.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Hunt and Fish Grill,Terminal B,Airside,"Restaurant, Seafood",,,,,,,,,An American grill serving a menu of grilled meats and seafood inspired by hunting and fishing traditions.,OPEN — on official LGA website,,"American, Steak, Grill Chicken & BBQ",
